Sample,Mass_Center,Radius_Center,Mass_Center_Noise,Radius_Center_Noise,Std_Mass,Std_Radius,Covariance,Skew_Mass,Skew_Radius
1,2.353,13.677,2.353,13.677,0.071,0.565,0.000,0.000,0.000
2,1.858,13.297,1.858,13.297,0.058,0.570,0.000,0.000,0.000
3,1.869,13.311,1.869,13.311,0.091,0.659,0.000,0.000,0.000
4,2.025,13.495,2.025,13.495,0.086,0.559,0.000,0.000,0.000
5,1.952,13.413,1.952,13.413,0.060,0.619,0.000,0.000,0.000
6,1.962,13.426,1.962,13.426,0.077,0.608,0.000,0.000,0.000
7,1.770,13.182,1.770,13.182,0.071,0.342,0.000,0.000,0.000
8,1.369,12.709,1.369,12.709,0.039,0.460,0.000,0.000,0.000
9,1.623,12.985,1.623,12.985,0.080,0.277,0.000,0.000,0.000
10,1.499,12.831,1.499,12.831,0.053,0.520,0.000,0.000,0.000
11,2.291,13.685,2.291,13.685,0.077,0.560,0.000,0.000,0.000
12,2.372,13.666,2.372,13.666,0.108,0.367,0.000,0.000,0.000
13,1.273,12.675,1.273,12.675,0.054,0.336,0.000,0.000,0.000
14,1.347,12.695,1.347,12.695,0.054,0.393,0.000,0.000,0.000
15,1.911,13.364,1.911,13.364,0.049,0.526,0.000,0.000,0.000
16,1.988,13.455,1.988,13.455,0.064,0.584,0.000,0.000,0.000
17,2.393,13.648,2.393,13.648,0.070,0.639,0.000,0.000,0.000
18,1.251,12.679,1.251,12.679,0.050,0.454,0.000,0.000,0.000
19,1.381,12.717,1.381,12.717,0.069,0.522,0.000,0.000,0.000
20,1.232,12.687,1.232,12.687,0.044,0.609,0.000,0.000,0.000
21,2.125,13.592,2.125,13.592,0.066,0.626,0.000,0.000,0.000
22,1.467,12.796,1.467,12.796,0.032,0.549,0.000,0.000,0.000
23,1.644,13.012,1.644,13.012,0.079,0.479,0.000,0.000,0.000
24,1.539,12.878,1.539,12.878,0.070,0.499,0.000,0.000,0.000
25,1.603,12.959,1.603,12.959,0.064,0.269,0.000,0.000,0.000
