Sample,Mass_Center,Radius_Center,Mass_Center_Noise,Radius_Center_Noise,Std_Mass,Std_Radius,Covariance,Skew_Mass,Skew_Radius
1,2.238,11.678,2.238,11.678,0.067,0.482,0.032,1.402,-2.324
2,1.793,12.239,1.793,12.239,0.056,0.525,0.022,2.873,-0.489
3,1.802,12.234,1.802,12.234,0.087,0.606,0.029,-0.406,2.729
4,1.943,12.133,1.943,12.133,0.083,0.503,0.007,-0.197,-0.524
5,1.877,12.185,1.877,12.185,0.058,0.562,0.003,-0.828,-2.743
6,1.887,12.178,1.887,12.178,0.074,0.551,0.023,-2.783,2.785
7,1.714,12.279,1.714,12.279,0.069,0.319,0.007,-0.543,0.004
8,1.352,12.385,1.352,12.385,0.038,0.448,0.003,-2.357,-2.816
9,1.581,12.328,1.581,12.328,0.078,0.263,0.009,0.212,-1.633
10,1.469,12.359,1.469,12.359,0.052,0.501,0.017,2.252,2.998
11,2.183,11.810,2.183,11.810,0.073,0.484,0.019,0.950,-1.128
12,2.255,11.628,2.255,11.628,0.102,0.313,0.003,1.328,2.237
13,1.266,12.403,1.266,12.403,0.054,0.329,0.004,1.587,2.075
14,1.332,12.389,1.332,12.389,0.053,0.384,0.010,2.087,-1.927
15,1.840,12.211,1.840,12.211,0.048,0.481,0.011,1.808,-0.245
16,1.910,12.161,1.910,12.161,0.061,0.527,0.014,1.457,-2.120
17,2.275,11.566,2.275,11.566,0.066,0.541,0.006,0.119,1.435
18,1.246,12.408,1.246,12.408,0.050,0.444,0.007,2.380,1.039
19,1.363,12.382,1.363,12.382,0.068,0.509,0.010,-1.098,-2.367
20,1.229,12.412,1.229,12.412,0.044,0.596,0.003,0.090,2.785
