# Mass Radius
1.206046559323578737e+00 1.274657888211807588e+01
1.214368322327030958e+00 1.274169373883880318e+01
1.222902908232285757e+00 1.273767374049149659e+01
1.231669776460512455e+00 1.273459551782536892e+01
1.240661729843222094e+00 1.273243150391371081e+01
1.249892962773780258e+00 1.273119723977250217e+01
1.259358281111176092e+00 1.273090585558323440e+01
1.269071682101376553e+00 1.273153741453783638e+01
1.279058442284553010e+00 1.273305515612150174e+01
1.289310629985636503e+00 1.273544803119034974e+01
1.299844210464422112e+00 1.273883465147671323e+01
1.310661234342235248e+00 1.274329678725968051e+01
1.321766386858841402e+00 1.274877057697861282e+01
1.333188055518617077e+00 1.275517447078214950e+01
1.344920719730314351e+00 1.276248780726623266e+01
1.356975855454983559e+00 1.277079914721005061e+01
1.369355494304804965e+00 1.278017563696727521e+01
1.382061534016508553e+00 1.279058826714360109e+01
1.395152117589171237e+00 1.280202618101884227e+01
1.408637940085726292e+00 1.281447655753287940e+01
1.422504310894427082e+00 1.282796658383518285e+01
1.436737523758774504e+00 1.284253012926385118e+01
1.451334285433710125e+00 1.285815911066954342e+01
1.466369805366862122e+00 1.287483927707500442e+01
1.481876167557762747e+00 1.289256705870082520e+01
1.497829050549178476e+00 1.291134382875910447e+01
1.514215156784347815e+00 1.293116134364846914e+01
1.531019983147636099e+00 1.295200863265856306e+01
1.548313070135678871e+00 1.297393723497200924e+01
1.566141463926673305e+00 1.299702303761033129e+01
1.584481900287355138e+00 1.302120688865585940e+01
1.603333138144558800e+00 1.304630206216693722e+01
1.622671805955414381e+00 1.307226816247166745e+01
1.642559633528123619e+00 1.309921037030739832e+01
1.663067280989448671e+00 1.312724276469480955e+01
1.684171548614817437e+00 1.315633305478268511e+01
1.705832979169744634e+00 1.318624467577373238e+01
1.728015946694656968e+00 1.321693764061685350e+01
1.750776581022332579e+00 1.324842052327428199e+01
1.774196165889230681e+00 1.328065120699072921e+01
1.798266952004890840e+00 1.331369116904693328e+01
1.822937750874059182e+00 1.334722896256791813e+01
1.848172871599161660e+00 1.338112000872995466e+01
1.874001353422796834e+00 1.341542491977315343e+01
1.900473498680020690e+00 1.345005316979373511e+01
1.927618186523575305e+00 1.348516890538610191e+01
1.955332651152015266e+00 1.352026321952174825e+01
1.983547970795972004e+00 1.355499807624641484e+01
2.012289804249852931e+00 1.358949013158016683e+01
2.041483607291745273e+00 1.362311599518138650e+01
2.071176937181770317e+00 1.365595945850194504e+01
2.101252850737072908e+00 1.368772555051046069e+01
2.131570574613735669e+00 1.371802061746270773e+01
2.162193913591146988e+00 1.374708131228412711e+01
2.192874631502407468e+00 1.377366050477520254e+01
2.223671218964457630e+00 1.379762780074448436e+01
2.254394814828025506e+00 1.381870673419060047e+01
2.284511922498475567e+00 1.383561982083139519e+01
2.314177252892689829e+00 1.384881211805950585e+01
2.343036688042036353e+00 1.385713211858000271e+01
2.370964228692812537e+00 1.385996505717401561e+01
2.397935986633496608e+00 1.385745139244477464e+01
2.423159085837301774e+00 1.384812603201163128e+01
2.446763665867235815e+00 1.383229599452842784e+01
2.468387153460222194e+00 1.380912045288257772e+01
2.487603128111617323e+00 1.377747713639665328e+01
2.504584513909595245e+00 1.373775778856272467e+01
2.518575443563829896e+00 1.368953246522339029e+01
2.529387829940901167e+00 1.363252137501614669e+01
2.537129462308888694e+00 1.356708603144368652e+01
2.541639371679232706e+00 1.349341201567374604e+01
2.542909284218208832e+00 1.341108195672655512e+01
2.541155538771628919e+00 1.332220752948428100e+01
2.261375448226440543e+00 1.137702934308492786e+01
2.262576682705001563e+00 1.135047300347206978e+01
2.263694273844683913e+00 1.132387155677837320e+01
2.264770682484709141e+00 1.129730567344703651e+01
2.265819872430920423e+00 1.127105578308056977e+01
2.266740522942198410e+00 1.124497067866223254e+01
2.267572090993964729e+00 1.121910501112295222e+01
2.268266525901257769e+00 1.119321845814162408e+01
2.268826229976642850e+00 1.116726678830440633e+01
2.269235901558046109e+00 1.114129489626387937e+01
2.269454329639320367e+00 1.111527680757616388e+01
2.269486529216166559e+00 1.108920395753824728e+01
2.269380394698255810e+00 1.106320753373175236e+01
