Sample,Mass_Center,Radius_Center,Mass_Center_Noise,Radius_Center_Noise,Std_Mass,Std_Radius,Covariance,Skew_Mass,Skew_Radius
1,2.353,13.677,2.340,13.318,0.070,0.550,0.000,0.000,0.000
2,1.858,13.297,1.880,13.058,0.059,0.560,0.000,0.000,0.000
3,1.869,13.311,1.908,13.327,0.093,0.660,0.000,0.000,0.000
4,2.025,13.495,2.072,14.184,0.088,0.588,0.000,0.000,0.000
5,1.952,13.413,2.073,13.184,0.064,0.608,0.000,0.000,0.000
6,1.962,13.426,1.863,13.427,0.073,0.608,0.000,0.000,0.000
7,1.770,13.182,1.703,12.814,0.068,0.333,0.000,0.000,0.000
8,1.369,12.709,1.464,12.697,0.041,0.459,0.000,0.000,0.000
9,1.623,12.985,1.585,12.594,0.078,0.269,0.000,0.000,0.000
10,1.499,12.831,1.463,13.037,0.052,0.528,0.000,0.000,0.000
11,2.291,13.685,2.411,13.329,0.081,0.546,0.000,0.000,0.000
12,2.372,13.666,2.447,13.461,0.111,0.362,0.000,0.000,0.000
13,1.273,12.675,1.287,12.679,0.055,0.336,0.000,0.000,0.000
14,1.347,12.695,1.454,12.305,0.058,0.381,0.000,0.000,0.000
15,1.911,13.364,1.871,13.070,0.048,0.515,0.000,0.000,0.000
