# Mass Radius
1.206853035172197108e+00 1.241754596492247842e+01
1.223526418985758646e+00 1.241333538423812044e+01
1.240249916040128131e+00 1.240926828171265051e+01
1.257049545255535916e+00 1.240535220245208592e+01
1.273899910065510621e+00 1.240156526306226503e+01
1.290751640565632963e+00 1.239784573492972619e+01
1.307609361850597063e+00 1.239421204033544832e+01
1.324487975963664521e+00 1.239058854390884079e+01
1.341399998948568095e+00 1.238693682477336644e+01
1.358325369623632151e+00 1.238329152170780389e+01
1.375239560817051343e+00 1.237968742992810789e+01
1.392148941289485853e+00 1.237611701009733167e+01
1.409040633089778893e+00 1.237248534137679634e+01
1.425914214533319679e+00 1.236879436958496292e+01
1.442766575356994707e+00 1.236501077148444594e+01
1.459596218385075472e+00 1.236108872782499191e+01
1.476401051703196909e+00 1.235704292932245885e+01
1.493159788268075827e+00 1.235285340817319977e+01
1.509875701598636821e+00 1.234851887914665980e+01
1.526537378874122330e+00 1.234404667553390844e+01
1.543140008385050832e+00 1.233944774917386766e+01
1.559681248874136283e+00 1.233470778380578992e+01
1.576143642928337529e+00 1.232980169285118777e+01
1.592529000620942492e+00 1.232474170675127922e+01
1.608843123503884032e+00 1.231945849037762741e+01
1.625096836572036407e+00 1.231392932212452429e+01
1.641269633041779974e+00 1.230816422768010554e+01
1.657334613681623603e+00 1.230215188435481366e+01
1.673298866267233898e+00 1.229589524980077364e+01
1.689154018634401622e+00 1.228940001098923318e+01
1.704908252822932679e+00 1.228266072590545654e+01
1.720535629425225421e+00 1.227569425989342733e+01
1.735999604335443980e+00 1.226854165252368922e+01
1.751321203480930899e+00 1.226117056633743196e+01
1.766557647213191862e+00 1.225345158917520294e+01
1.781722608763997684e+00 1.224537371076505821e+01
1.796749194149824369e+00 1.223700288054356911e+01
1.811601011907972403e+00 1.222838079191979510e+01
1.826296199755537586e+00 1.221947351550673666e+01
1.840833127256178869e+00 1.221023419200110283e+01
1.855211626742300890e+00 1.220066570179824517e+01
1.869435643071999609e+00 1.219080567164642837e+01
1.883519474061347898e+00 1.218065362905813132e+01
1.897434312540928092e+00 1.217022771779760149e+01
1.911134054624560541e+00 1.215958330586093616e+01
1.924631668559565023e+00 1.214870423656484455e+01
1.937979282125334990e+00 1.213745578733485964e+01
1.951200335160589994e+00 1.212580799353242256e+01
1.964238745468682046e+00 1.211381549211699316e+01
1.977042003821057881e+00 1.210150361336878788e+01
1.989637276408838362e+00 1.208886522161270172e+01
2.002073163724755744e+00 1.207591618890817564e+01
2.014359299748063936e+00 1.206264369132079928e+01
2.026443085824845003e+00 1.204910196884352125e+01
2.038299095605414557e+00 1.203534924270611661e+01
2.049938045507743833e+00 1.202132611050276445e+01
2.061347491745600724e+00 1.200693128088101957e+01
2.072524982146309203e+00 1.199217377450700006e+01
2.083513748663667453e+00 1.197712609543623152e+01
2.094336942578605587e+00 1.196181327410733175e+01
2.104964332234548596e+00 1.194621173490449451e+01
2.115366231922865214e+00 1.193031998102023827e+01
2.125551291937466836e+00 1.191413711688651489e+01
2.135535002985283093e+00 1.189758592880832921e+01
2.145330604412932551e+00 1.188059247622915215e+01
2.154901364960552179e+00 1.186336223462767592e+01
2.164207158427951860e+00 1.184612355406643402e+01
2.173271627400347850e+00 1.182873978562919959e+01
2.182145032723888267e+00 1.181091209079271920e+01
2.190833347095057171e+00 1.179260891546502066e+01
2.199295920493878231e+00 1.177405343658803716e+01
2.207501123715553515e+00 1.175537325439228376e+01
2.215480078064150149e+00 1.173647510156636464e+01
2.223283301398224943e+00 1.171727232458926160e+01
2.230907926500567573e+00 1.169777237613275922e+01
2.238291171626010989e+00 1.167805585044164474e+01
2.245402935997445226e+00 1.165815781195518319e+01
2.252283285400886292e+00 1.163803407441883664e+01
2.258972064118913714e+00 1.161763775823256317e+01
2.265456650325569310e+00 1.159698471937159425e+01
2.271703951524435272e+00 1.157614899773854056e+01
2.277711243933076002e+00 1.155514574429961527e+01
2.283480882195772832e+00 1.153394193022647762e+01
2.289006782839884568e+00 1.151251613991125744e+01
2.294294470208798398e+00 1.149087987149100520e+01
2.299365471351467072e+00 1.146904864217444775e+01
2.304229554450472950e+00 1.144702117691703869e+01
2.308831876736614053e+00 1.142479892810502484e+01
2.313138349787149828e+00 1.140235804892160232e+01
2.317174491962039617e+00 1.137974274658989948e+01
2.320961281726260594e+00 1.135706341497122196e+01
2.324495223916949183e+00 1.133431451317639294e+01
2.327772128452480160e+00 1.131132008468184758e+01
2.330791362332855776e+00 1.128797148807614015e+01
2.333553208857987560e+00 1.126444352361740364e+01
2.336061133845568349e+00 1.124093986410052182e+01
2.338313096909073519e+00 1.121739092691266393e+01
2.340282811516884554e+00 1.119359316994961340e+01
2.341954697288576526e+00 1.116949499007370328e+01
2.343374355577698243e+00 1.114522949764006121e+01
2.344579499195137195e+00 1.112087870064617867e+01
2.345551248537301348e+00 1.109640994143209269e+01
2.346273084743584647e+00 1.107184037847082791e+01
2.346744735457713116e+00 1.104718462077895502e+01
2.346973783098210919e+00 1.102236009521350724e+01
