# Mass Radius
1.204186813400656142e+00 1.241523792217229172e+01
1.220284245339028129e+00 1.241089077178647848e+01
1.236241176218080717e+00 1.240652252521270071e+01
1.252098423927681559e+00 1.240190581727620511e+01
1.267750480147010972e+00 1.239718936297145113e+01
1.282880891581650973e+00 1.239251996007370415e+01
1.297541522293887306e+00 1.238788279610886356e+01
1.311661801111201342e+00 1.238324136329322833e+01
1.325140640746772513e+00 1.237847638395146710e+01
1.338131484624845768e+00 1.237382036753531267e+01
1.350783071177740213e+00 1.236957610589381673e+01
1.363053472774780284e+00 1.236566340098701389e+01
1.375271968083163099e+00 1.236236280137539190e+01
1.387451821373768546e+00 1.235971136582297980e+01
1.399657799454131490e+00 1.235769603900836522e+01
1.411990335294868837e+00 1.235631949714872313e+01
1.424427443321658604e+00 1.235560513637436486e+01
1.437093954812489471e+00 1.235576090510979697e+01
1.449975777335500871e+00 1.235680651437691679e+01
1.463118608357951045e+00 1.235864064742907686e+01
1.476551224562942854e+00 1.236121499733754980e+01
1.490271652796818946e+00 1.236455463493476614e+01
1.504322022545284687e+00 1.236867006953537640e+01
1.518693672432676722e+00 1.237356871587809337e+01
1.533407367628640161e+00 1.237917873318447981e+01
1.548473816082628352e+00 1.238546206317643339e+01
1.563883431103058941e+00 1.239246129582542011e+01
1.579622966247237414e+00 1.240025100241251721e+01
1.595695753453912902e+00 1.240881229758837456e+01
1.612159500013756963e+00 1.241787418544494592e+01
1.629029107307279345e+00 1.242740955020070359e+01
1.646277961127287304e+00 1.243742178478536609e+01
1.663891539785277596e+00 1.244791086670126568e+01
1.681874623029803395e+00 1.245884785266554751e+01
1.700223767035161426e+00 1.247002592355745954e+01
1.718948151787165868e+00 1.248149513763094376e+01
1.738008922236518039e+00 1.249307071707467287e+01
1.757390983592859834e+00 1.250471355682411989e+01
1.777091685826348799e+00 1.251634051975446660e+01
1.797086107683574241e+00 1.252763725312880361e+01
1.817389829761272058e+00 1.253869284840696530e+01
1.837900719463404720e+00 1.254915398489491274e+01
1.858620126577058329e+00 1.255906048719545076e+01
1.879492066777155745e+00 1.256813319785841188e+01
1.900425156756004430e+00 1.257593024946937099e+01
1.921443133524403102e+00 1.258256803697992510e+01
1.942407787076898762e+00 1.258756515105188001e+01
1.963382020342361534e+00 1.259108067994126756e+01
1.984146240952352480e+00 1.259252370259150489e+01
2.004525617149930827e+00 1.259142385238370920e+01
2.024552291980841634e+00 1.258785355859501642e+01
2.043993696631855261e+00 1.258108494715468062e+01
2.062926021329007931e+00 1.257130888529176005e+01
2.081054476920074947e+00 1.255781576342509176e+01
2.098292475288392911e+00 1.254029174513179967e+01
2.114563132641010146e+00 1.251871496636454850e+01
2.129497738417962083e+00 1.249251506411963675e+01
2.143181547860222746e+00 1.246181220027612646e+01
2.155377499500838567e+00 1.242634918971185520e+01
2.166047315400112527e+00 1.238593485393489324e+01
2.175144074084293777e+00 1.234084070674581568e+01
2.182494952573193370e+00 1.229110471183087050e+01
2.188152238525121529e+00 1.223674576555749560e+01
2.192275022856890576e+00 1.217923924663156043e+01
2.194609571066104436e+00 1.211765933443235532e+01
2.195953780582071246e+00 1.205512381446262360e+01
2.196644776999354232e+00 1.199302333410213173e+01
2.196853032905203396e+00 1.193204095020666955e+01
2.198536239686028626e+00 1.188025036941756873e+01
2.201631105151392820e+00 1.183779411689853944e+01
2.205933752466942011e+00 1.180193872039032854e+01
2.211738072152927170e+00 1.177297153510640548e+01
2.218558439117271242e+00 1.174920665156747290e+01
2.225415508986896995e+00 1.172604784072605355e+01
2.232507850813616912e+00 1.170439083344877140e+01
2.239534042426655880e+00 1.168320518565434440e+01
2.246406456410658503e+00 1.166219375807576242e+01
2.253143874384482270e+00 1.164136886004042104e+01
2.259657655959104616e+00 1.162034654409872303e+01
2.265974319657389380e+00 1.159923822066242849e+01
2.272117157897188822e+00 1.157801800036210871e+01
2.278111153243832732e+00 1.155669765592689302e+01
2.283882511053219044e+00 1.153523230856042936e+01
2.289361743621894263e+00 1.151356448168919577e+01
2.294584848822709855e+00 1.149172850602836959e+01
2.299597492917013764e+00 1.146979595352723891e+01
2.304404655031425442e+00 1.144778928113328931e+01
2.308967697731318047e+00 1.142557561282145429e+01
2.313272994945627214e+00 1.140304201481922952e+01
2.317322459064207418e+00 1.138030529708760596e+01
2.321097903959412179e+00 1.135755323948618489e+01
2.324600998838740384e+00 1.133477111670052118e+01
2.327851288304278121e+00 1.131172296500092500e+01
2.330845872440900024e+00 1.128826222616574881e+01
2.333599658749456740e+00 1.126462667277512786e+01
2.336153116668015173e+00 1.124109566875870492e+01
2.338489633021057834e+00 1.121757370376606211e+01
2.340496808916347593e+00 1.119378054397790301e+01
2.342135483527630235e+00 1.116965058235963859e+01
2.343512841077223463e+00 1.114534964875246992e+01
2.344715206565158194e+00 1.112097471187597364e+01
2.345695558600188857e+00 1.109648883204986447e+01
2.346392630387003297e+00 1.107192193660823953e+01
2.346800468648939209e+00 1.104729186442227018e+01
2.346973030828113149e+00 1.102249434138204087e+01
