Sample,Mass_Center,Radius_Center,Mass_Center_Noise,Radius_Center_Noise,Std_Mass,Std_Radius,Covariance,Skew_Mass,Skew_Radius
1,2.353,13.677,2.353,13.677,0.071,0.565,0.039,1.402,-2.324
2,1.858,13.297,1.858,13.297,0.058,0.570,0.024,2.873,-0.489
3,1.869,13.311,1.869,13.311,0.091,0.659,0.032,-0.406,2.729
4,2.025,13.495,2.025,13.495,0.086,0.559,0.008,-0.197,-0.524
5,1.952,13.413,1.952,13.413,0.060,0.619,0.003,-0.828,-2.743
6,1.962,13.426,1.962,13.426,0.077,0.608,0.027,-2.783,2.785
7,1.770,13.182,1.770,13.182,0.071,0.342,0.008,-0.543,0.004
8,1.369,12.709,1.369,12.709,0.039,0.460,0.004,-2.357,-2.816
9,1.623,12.985,1.623,12.985,0.080,0.277,0.009,0.212,-1.633
10,1.499,12.831,1.499,12.831,0.053,0.520,0.018,2.252,2.998
11,2.291,13.685,2.291,13.685,0.077,0.560,0.024,0.950,-1.128
12,2.372,13.666,2.372,13.666,0.108,0.367,0.004,1.328,2.237
13,1.273,12.675,1.273,12.675,0.054,0.336,0.004,1.587,2.075
14,1.347,12.695,1.347,12.695,0.054,0.393,0.010,2.087,-1.927
15,1.911,13.364,1.911,13.364,0.049,0.526,0.012,1.808,-0.245
16,1.988,13.455,1.988,13.455,0.064,0.584,0.017,1.457,-2.120
17,2.393,13.648,2.393,13.648,0.070,0.639,0.007,0.119,1.435
18,1.251,12.679,1.251,12.679,0.050,0.454,0.007,2.380,1.039
19,1.381,12.717,1.381,12.717,0.069,0.522,0.010,-1.098,-2.367
20,1.232,12.687,1.232,12.687,0.044,0.609,0.003,0.090,2.785
21,2.125,13.592,2.125,13.592,0.066,0.626,0.004,1.213,-0.777
22,1.467,12.796,1.467,12.796,0.032,0.549,0.001,-0.788,1.718
23,1.644,13.012,1.644,13.012,0.079,0.479,0.005,0.948,1.457
24,1.539,12.878,1.539,12.878,0.070,0.499,0.013,-0.567,-2.563
25,1.603,12.959,1.603,12.959,0.064,0.269,0.010,0.670,2.298
