Sample,Mass_Center,Radius_Center,Mass_Center_Noise,Radius_Center_Noise,Std_Mass,Std_Radius,Covariance,Skew_Mass,Skew_Radius
1,2.353,13.677,2.353,13.677,0.071,0.565,0.000,0.000,0.000
2,1.858,13.297,1.858,13.297,0.058,0.570,0.000,0.000,0.000
3,1.869,13.311,1.869,13.311,0.091,0.659,0.000,0.000,0.000
4,2.025,13.495,2.025,13.495,0.086,0.559,0.000,0.000,0.000
5,1.952,13.413,1.952,13.413,0.060,0.619,0.000,0.000,0.000
6,1.962,13.426,1.962,13.426,0.077,0.608,0.000,0.000,0.000
7,1.770,13.182,1.770,13.182,0.071,0.342,0.000,0.000,0.000
8,1.369,12.709,1.369,12.709,0.039,0.460,0.000,0.000,0.000
9,1.623,12.985,1.623,12.985,0.080,0.277,0.000,0.000,0.000
10,1.499,12.831,1.499,12.831,0.053,0.520,0.000,0.000,0.000
