Sample,Mass_Center,Radius_Center,Mass_Center_Noise,Radius_Center_Noise,Std_Mass,Std_Radius,Covariance,Skew_Mass,Skew_Radius
1,2.238,11.678,2.238,11.678,0.067,0.482,0.000,0.000,0.000
2,1.793,12.239,1.793,12.239,0.056,0.525,0.000,0.000,0.000
3,1.802,12.234,1.802,12.234,0.087,0.606,0.000,0.000,0.000
4,1.943,12.133,1.943,12.133,0.083,0.503,0.000,0.000,0.000
5,1.877,12.185,1.877,12.185,0.058,0.562,0.000,0.000,0.000
6,1.887,12.178,1.887,12.178,0.074,0.551,0.000,0.000,0.000
7,1.714,12.279,1.714,12.279,0.069,0.319,0.000,0.000,0.000
8,1.352,12.385,1.352,12.385,0.038,0.448,0.000,0.000,0.000
9,1.581,12.328,1.581,12.328,0.078,0.263,0.000,0.000,0.000
10,1.469,12.359,1.469,12.359,0.052,0.501,0.000,0.000,0.000
11,2.183,11.810,2.183,11.810,0.073,0.484,0.000,0.000,0.000
12,2.255,11.628,2.255,11.628,0.102,0.313,0.000,0.000,0.000
13,1.266,12.403,1.266,12.403,0.054,0.329,0.000,0.000,0.000
14,1.332,12.389,1.332,12.389,0.053,0.384,0.000,0.000,0.000
15,1.840,12.211,1.840,12.211,0.048,0.481,0.000,0.000,0.000
16,1.910,12.161,1.910,12.161,0.061,0.527,0.000,0.000,0.000
17,2.275,11.566,2.275,11.566,0.066,0.541,0.000,0.000,0.000
18,1.246,12.408,1.246,12.408,0.050,0.444,0.000,0.000,0.000
19,1.363,12.382,1.363,12.382,0.068,0.509,0.000,0.000,0.000
20,1.229,12.412,1.229,12.412,0.044,0.596,0.000,0.000,0.000
21,2.033,12.042,2.033,12.042,0.063,0.555,0.000,0.000,0.000
22,1.440,12.366,1.440,12.366,0.031,0.530,0.000,0.000,0.000
23,1.600,12.322,1.600,12.322,0.077,0.453,0.000,0.000,0.000
24,1.505,12.350,1.505,12.350,0.068,0.479,0.000,0.000,0.000
25,1.563,12.334,1.563,12.334,0.062,0.256,0.000,0.000,0.000
