Sample,Mass_Center,Radius_Center,Mass_Center_Noise,Radius_Center_Noise,Std_Mass,Std_Radius,Covariance,Skew_Mass,Skew_Radius
1,2.101,12.165,2.101,12.165,0.063,0.503,0.000,0.000,0.000
2,1.412,12.964,1.412,12.964,0.044,0.556,0.000,0.000,0.000
3,1.426,12.957,1.426,12.957,0.069,0.642,0.000,0.000,0.000
4,1.643,12.822,1.643,12.822,0.070,0.531,0.000,0.000,0.000
5,1.542,12.891,1.542,12.891,0.047,0.595,0.000,0.000,0.000
6,1.557,12.882,1.557,12.882,0.061,0.583,0.000,0.000,0.000
7,1.289,13.023,1.289,13.023,0.052,0.338,0.000,0.000,0.000
8,0.730,13.540,0.730,13.540,0.021,0.490,0.000,0.000,0.000
9,1.084,13.127,1.084,13.127,0.054,0.280,0.000,0.000,0.000
10,0.911,13.260,0.911,13.260,0.032,0.537,0.000,0.000,0.000
