# Mass Radius
5.045720839973458771e-01 1.457203884262479043e+01
5.110306081888935648e-01 1.451759601477159300e+01
5.175413920499827292e-01 1.446515804813387440e+01
5.241054516107451766e-01 1.441466581493890864e+01
5.307160786022258048e-01 1.436609609017180844e+01
5.373720164665188870e-01 1.431944904116668482e+01
5.441231672466223523e-01 1.427427875599241602e+01
5.509719751186717973e-01 1.423054549499926935e+01
5.579605540205131442e-01 1.418769135953732707e+01
5.650655312264416530e-01 1.414591130417652920e+01
5.721979419730366390e-01 1.410587161734228623e+01
5.793753160276066128e-01 1.406741084022921306e+01
5.866069331187616642e-01 1.403042520561301743e+01
5.938866445425449170e-01 1.399484258483982480e+01
6.011903192447164423e-01 1.396061049491168404e+01
6.085784590704359509e-01 1.392746468882377009e+01
6.161076677046710692e-01 1.389512111850108944e+01
6.237349241514786868e-01 1.386376516156748906e+01
6.314549584279348649e-01 1.383344109202374383e+01
6.392290252653922700e-01 1.380416606302564198e+01
6.470451572106351579e-01 1.377594567800738901e+01
6.549020884230147832e-01 1.374883303538357993e+01
6.627983357507045703e-01 1.372284648145197217e+01
6.707383164983219404e-01 1.369773517368831683e+01
6.787276998105798986e-01 1.367347746516332130e+01
6.868742036261267225e-01 1.364975016051895729e+01
6.951538998455075724e-01 1.362663675434741428e+01
7.034768846931560571e-01 1.360451030108590942e+01
7.118491566897524603e-01 1.358324588313129055e+01
7.202500034747073565e-01 1.356260473161544766e+01
7.286884515226876857e-01 1.354269055589385040e+01
7.371611418716046416e-01 1.352368103939577715e+01
7.457009165467578526e-01 1.350529000021587400e+01
7.543473803491537177e-01 1.348718109259126230e+01
7.630698742138930513e-01 1.346973699280854042e+01
7.718596544854204877e-01 1.345319768168143959e+01
7.807067284589784828e-01 1.343720433475183640e+01
7.896086201236905966e-01 1.342164829154309302e+01
7.985500711440948196e-01 1.340662405575128702e+01
8.075280659176007347e-01 1.339213842136732069e+01
8.165370681063408576e-01 1.337823838907160123e+01
8.255790048319180396e-01 1.336491745477575854e+01
8.347469834276176615e-01 1.335181150712543996e+01
8.440257155746156981e-01 1.333897285028973734e+01
8.533352255016557475e-01 1.332668096316620066e+01
8.626834044437143856e-01 1.331487044931821195e+01
8.720656797489153567e-01 1.330342382589561190e+01
8.814821057697752593e-01 1.329236444302218167e+01
8.909220033145948126e-01 1.328171256266186084e+01
