# Mass Radius
1.207576501315982043e+00 1.270428762660417377e+01
1.215736611855085192e+00 1.269732544447459510e+01
1.224107434844397657e+00 1.269125540250740514e+01
1.232724277439372740e+00 1.268616521475108883e+01
1.241573320650028123e+00 1.268202780753080816e+01
1.250675275675018350e+00 1.267883958974158531e+01
1.260041506192260741e+00 1.267659572280672364e+01
1.269665570797817722e+00 1.267530229421957166e+01
1.279551253429921376e+00 1.267498308412988806e+01
1.289686119526557651e+00 1.267562440544189606e+01
1.300097194253447386e+00 1.267725609038897083e+01
1.310818127811206324e+00 1.267991853313577622e+01
1.321837468063908450e+00 1.268359567539650357e+01
1.333170253554915030e+00 1.268831785608116469e+01
1.344819334561075275e+00 1.269410391688558626e+01
1.356785867582184668e+00 1.270094463759043713e+01
1.369108945247834441e+00 1.270885442099565488e+01
1.381789603444773640e+00 1.271783674603624092e+01
1.394830166824442275e+00 1.272788663023793276e+01
1.408245181491482256e+00 1.273899554016581526e+01
1.422026927723823775e+00 1.275115008577040498e+01
1.436195089524582968e+00 1.276441190678822046e+01
1.450759779955191897e+00 1.277885460561980402e+01
1.465716611655226487e+00 1.279444154432609793e+01
1.481096116093041815e+00 1.281103549471782088e+01
1.496905659876098360e+00 1.282857049087135337e+01
1.513138838450863943e+00 1.284713056481898441e+01
1.529797180497763032e+00 1.286681475008904485e+01
1.546876948846261479e+00 1.288764728788330061e+01
1.564389778565523859e+00 1.290950116474283327e+01
1.582341815050231970e+00 1.293231824982444600e+01
1.600729503758999028e+00 1.295613251743983518e+01
1.619577250121191581e+00 1.298070485364576498e+01
1.638900657950653983e+00 1.300589603141005490e+01
1.658683152872033828e+00 1.303184866745447579e+01
1.678904206413362132e+00 1.305875180095505250e+01
1.699569286207875951e+00 1.308674556417146206e+01
1.720668205602174705e+00 1.311539655682280703e+01
1.742188961378176693e+00 1.314429282701175694e+01
1.764136776311072241e+00 1.317357664286419450e+01
1.786501175560505805e+00 1.320326492026184795e+01
1.809303152325198560e+00 1.323349579983797319e+01
1.832513633629201832e+00 1.326409550792114445e+01
1.856037348456896607e+00 1.329455162110353328e+01
1.879872369802845444e+00 1.332488433605344191e+01
1.904030328508510950e+00 1.335508384050023878e+01
1.928529490309894179e+00 1.338511759667684409e+01
1.953393833470278285e+00 1.341509789604389979e+01
1.978433530126622264e+00 1.344435830251455144e+01
2.003553327911444804e+00 1.347257108647157686e+01
2.028803035756237882e+00 1.349990249721828661e+01
2.054127575561402352e+00 1.352611065609580088e+01
2.079593864914393908e+00 1.355138046754308512e+01
2.105061594998550500e+00 1.357531972984246416e+01
2.130347268221985058e+00 1.359740191313629687e+01
2.155536631929687363e+00 1.361789130824506699e+01
2.180426032439712003e+00 1.363611695591873030e+01
2.204915098836920162e+00 1.365169072869619171e+01
2.229043880683761358e+00 1.366478759802561704e+01
2.252567355468004351e+00 1.367488959529573123e+01
2.275540769725421519e+00 1.368217431840054843e+01
2.297829158037279385e+00 1.368624659259288379e+01
2.319146143767926826e+00 1.368629195998119030e+01
2.339606798809069854e+00 1.368249381389807695e+01
2.358970450558193210e+00 1.367470503935360959e+01
2.377068946943680317e+00 1.366285334270244967e+01
2.393980151557068670e+00 1.364697714499761894e+01
2.409418217233834536e+00 1.362641074017090048e+01
2.423355033627413668e+00 1.360099432050715151e+01
2.435772277547822551e+00 1.357083623738603784e+01
2.446494679469116917e+00 1.353579255488146060e+01
2.455586985498375174e+00 1.349582636422685233e+01
2.462915346950776740e+00 1.345110426170328921e+01
2.468307922872364113e+00 1.340162833640745710e+01
2.471821772543617346e+00 1.334734566584288729e+01
2.473598545255944803e+00 1.328906147808429594e+01
