# Mass Radius
1.204122809831139618e+00 1.270750668170617637e+01
1.211981134015584383e+00 1.270042741024461819e+01
1.220017913583020475e+00 1.269421503484016611e+01
1.228282817376545877e+00 1.268885053640430982e+01
1.236789705349268242e+00 1.268430819022640144e+01
1.245522964717189041e+00 1.268062598561335719e+01
1.254474575130355873e+00 1.267786504379641599e+01
1.263628561926166016e+00 1.267601131131097070e+01
1.273027713677481687e+00 1.267508349611134477e+01
1.282716680014947874e+00 1.267511477437742329e+01
1.292680494705465089e+00 1.267609723890313589e+01
1.302925651357865311e+00 1.267801878225051837e+01
1.313458171345831316e+00 1.268085654794053774e+01
1.324274885878462538e+00 1.268462283274969238e+01
1.335380933102825463e+00 1.268939430016587977e+01
1.346762191011338539e+00 1.269519619723439874e+01
1.358439198631742562e+00 1.270200594184837328e+01
1.370460504304945815e+00 1.270982067834313867e+01
1.382820245845793439e+00 1.271863482952552538e+01
1.395524600365246837e+00 1.272846132299885724e+01
1.408591461743937678e+00 1.273931002510191313e+01
1.422014852892298009e+00 1.275116732693580701e+01
1.435800384702305088e+00 1.276407995343534907e+01
1.449945856866564631e+00 1.277810468628235796e+01
1.464450605398861294e+00 1.279321894770015433e+01
1.479355583466707147e+00 1.280932067075092284e+01
1.494675523311488119e+00 1.282637662353819685e+01
1.510400070994168953e+00 1.284440871821346697e+01
1.526535351410216679e+00 1.286339203840543277e+01
1.543074972654942201e+00 1.288333223016693374e+01
1.560031481268486564e+00 1.290421896410724933e+01
1.577426367954251285e+00 1.292604005800260047e+01
1.595262534816468403e+00 1.294882468908244633e+01
1.613513611873811149e+00 1.297247913869465030e+01
1.632153573094112797e+00 1.299695186790432366e+01
1.651190591129553908e+00 1.302227971010988306e+01
1.670656321416003287e+00 1.304828707094020679e+01
1.690575006438447270e+00 1.307492162053684481e+01
1.710926823794393981e+00 1.310220571109672605e+01
1.731677576395448392e+00 1.313000912901388872e+01
1.752830759177054665e+00 1.315839115035527485e+01
1.774378608095421583e+00 1.318723987342358051e+01
1.796299657304820441e+00 1.321635445813722143e+01
1.818608615449437416e+00 1.324584935171446176e+01
1.841271935909351898e+00 1.327548051422412811e+01
1.864260359603851835e+00 1.330501894144738628e+01
1.887589694572124888e+00 1.333457697376628204e+01
1.911221978138489153e+00 1.336394360184469576e+01
1.935178333464785405e+00 1.339311802945355012e+01
1.959435646242893458e+00 1.342207036187177138e+01
2.262511885310684701e+00 1.367837733550757484e+01
2.284656502508825682e+00 1.368418499424457835e+01
2.306020020623225530e+00 1.368663060763409334e+01
2.326462102552010247e+00 1.368534416538178178e+01
2.346054913880038839e+00 1.368052108292918057e+01
2.364501012891814025e+00 1.367175116878922836e+01
2.381791904399278348e+00 1.365907718743508958e+01
2.397892799900801286e+00 1.364237239261975354e+01
2.412559711974685772e+00 1.362112167688449738e+01
2.425859991957089346e+00 1.359534719791519386e+01
2.437680395591765858e+00 1.356508746395751608e+01
2.447845581602263731e+00 1.353027209186065249e+01
2.456425324816663203e+00 1.349090867181510944e+01
2.463321142709621991e+00 1.344704855292284051e+01
2.468418058220741340e+00 1.339853528180683639e+01
2.471767725005895144e+00 1.334541607106667094e+01
2.473509394081179646e+00 1.328863886563671670e+01
