amp,mu_0,mu_1,mu_2,mu_3,Sigma_0_0,Sigma_0_1,Sigma_0_2,Sigma_0_3,Sigma_1_0,Sigma_1_1,Sigma_1_2,Sigma_1_3,Sigma_2_0,Sigma_2_1,Sigma_2_2,Sigma_2_3,Sigma_3_0,Sigma_3_1,Sigma_3_2,Sigma_3_3
1.955371722579002380e-02,1.866506457328796387e+00,1.015208959579467773e+00,9.027478027343750000e+01,1.969555175781250000e+03,2.327225636690855026e-03,-1.087763695977628231e-03,-3.983803987503051758e-01,2.520055055618286133e+00,-1.087763695977628231e-03,5.138143314979970455e-04,1.443346440792083740e-01,-1.642718791961669922e+00,-3.983803987503051758e-01,1.443346440792083740e-01,3.078552001953125000e+03,1.387870507812500000e+04,2.520055055618286133e+00,-1.642718791961669922e+00,1.387870507812500000e+04,1.176121125000000000e+06
1.778372377157211304e-02,1.823387622833251953e+00,1.034839510917663574e+00,2.617242126464843750e+02,1.152805908203125000e+03,1.335490029305219650e-03,-6.694736657664179802e-04,6.784888505935668945e-01,4.924497127532958984e+00,-6.694736657664179802e-04,3.372114733792841434e-04,-3.680067062377929688e-01,-2.097146272659301758e+00,6.784888505935668945e-01,-3.680067062377929688e-01,1.723643945312500000e+04,-2.482258593750000000e+04,4.924497127532958984e+00,-2.097146272659301758e+00,-2.482258593750000000e+04,2.753426562500000000e+05
3.662073612213134766e-02,1.407889127731323242e+00,1.320963263511657715e+00,9.249334106445312500e+02,1.978731689453125000e+02,5.953751388005912304e-04,-5.386787233874201775e-04,4.058778882026672363e-01,2.837452888488769531e-01,-5.386787233874201775e-04,4.980663652531802654e-04,-2.418801635503768921e-01,-1.084577292203903198e-01,4.058778882026672363e-01,-2.418801635503768921e-01,1.266084921875000000e+05,-3.406761474609375000e+02,2.837452888488769531e-01,-1.084577292203903198e-01,-3.406761474609375000e+02,1.771542187500000000e+04
3.593014553189277649e-03,2.126871347427368164e+00,9.085257053375244141e-01,1.297235412597656250e+02,2.454964843750000000e+03,8.388799615204334259e-03,-3.024384379386901855e-03,-4.336616992950439453e+00,2.872147178649902344e+01,-3.024384379386901855e-03,1.093431841582059860e-03,1.508725643157958984e+00,-9.940628051757812500e+00,-4.336616992950439453e+00,1.508725643157958984e+00,1.281225097656250000e+04,-2.398253515625000000e+04,2.872147178649902344e+01,-9.940628051757812500e+00,-2.398253515625000000e+04,3.170024687500000000e+05
5.915306881070137024e-02,1.666690111160278320e+00,1.125269293785095215e+00,4.030448913574218750e+01,6.512803955078125000e+02,2.367267617955803871e-03,-1.478167250752449036e-03,1.683736592531204224e-01,2.254135608673095703e+00,-1.478167250752449036e-03,9.299136581830680370e-04,-1.077767312526702881e-01,-1.350930929183959961e+00,1.683736592531204224e-01,-1.077767312526702881e-01,6.729589233398437500e+02,-1.349601074218750000e+03,2.254135608673095703e+00,-1.350930929183959961e+00,-1.349601074218750000e+03,6.584425781250000000e+04
5.178925022482872009e-02,1.518002510070800781e+00,1.226611018180847168e+00,6.475586547851562500e+02,4.171553039550781250e+02,1.326317549683153629e-03,-1.024822471663355827e-03,-1.316758394241333008e+00,-9.586227536201477051e-01,-1.024822471663355827e-03,7.951363222673535347e-04,1.121454715728759766e+00,7.227392196655273438e-01,-1.316758394241333008e+00,1.121454715728759766e+00,9.413448437500000000e+04,-2.956345898437500000e+04,-9.586227536201477051e-01,7.227392196655273438e-01,-2.956345898437500000e+04,6.737839062500000000e+04
6.350821256637573242e-02,1.422141551971435547e+00,1.308333158493041992e+00,2.476221466064453125e+02,2.477594604492187500e+02,1.073685125447809696e-03,-9.628733387216925621e-04,-5.490668583661317825e-03,1.355309009552001953e+00,-9.628733387216925621e-04,8.746319799683988094e-04,4.764964431524276733e-02,-1.239967346191406250e+00,-5.490668583661317825e-03,4.764964431524276733e-02,1.672458398437500000e+04,-1.125546191406250000e+04,1.355309009552001953e+00,-1.239967346191406250e+00,-1.125546191406250000e+04,2.272280664062500000e+04
7.354806177318096161e-03,1.456001043319702148e+00,1.279763579368591309e+00,1.491875000000000000e+03,9.222571411132812500e+02,3.307147417217493057e-03,-2.760116942226886749e-03,-7.496995925903320312e+00,-3.937737643718719482e-01,-2.760116942226886749e-03,2.312625525519251823e-03,6.627103805541992188e+00,5.181103944778442383e-02,-7.496995925903320312e+00,6.627103805541992188e+00,3.103191562500000000e+05,-1.994496562500000000e+05,-3.937737643718719482e-01,5.181103944778442383e-02,-1.994496562500000000e+05,1.663737343750000000e+05
2.426473889499902725e-03,1.527933359146118164e+00,1.220467805862426758e+00,1.067511596679687500e+03,2.262260742187500000e+03,2.613638062030076981e-03,-2.045200206339359283e-03,2.151312112808227539e+00,-2.904269218444824219e+00,-2.045200206339359283e-03,1.603272627107799053e-03,-1.642987966537475586e+00,2.160886287689208984e+00,2.151312112808227539e+00,-1.642987966537475586e+00,3.601199218750000000e+04,-4.615173828125000000e+04,-2.904269218444824219e+00,2.160886287689208984e+00,-4.615173828125000000e+04,1.494846718750000000e+05
7.720970362424850464e-02,1.665272831916809082e+00,1.125354766845703125e+00,2.512457275390625000e+02,1.088477783203125000e+03,1.712703262455761433e-03,-1.082743750885128975e-03,1.157747983932495117e+00,4.811392128467559814e-01,-1.082743750885128975e-03,6.895892438478767872e-04,-7.900497317314147949e-01,-1.607632339000701904e-01,1.157747983932495117e+00,-7.900497317314147949e-01,1.356023828125000000e+04,-1.801755468750000000e+04,4.811392128467559814e-01,-1.607632339000701904e-01,-1.801755468750000000e+04,2.582978906250000000e+05
