amp,mu_0,mu_1,mu_2,mu_3,Sigma_0_0,Sigma_0_1,Sigma_0_2,Sigma_0_3,Sigma_1_0,Sigma_1_1,Sigma_1_2,Sigma_1_3,Sigma_2_0,Sigma_2_1,Sigma_2_2,Sigma_2_3,Sigma_3_0,Sigma_3_1,Sigma_3_2,Sigma_3_3
2.922115474939346313e-02,1.643898725509643555e+00,1.140196800231933594e+00,9.033483886718750000e+01,3.952142333984375000e+02,2.483878284692764282e-03,-1.548135536722838879e-03,-2.213832437992095947e-01,7.148149609565734863e-02,-1.548135536722838879e-03,9.727528085932135582e-04,1.339945346117019653e-01,-6.595455110073089600e-02,-2.213832437992095947e-01,1.339945346117019653e-01,2.776349365234375000e+03,-4.989058593750000000e+03,7.148149609565734863e-02,-6.595455110073089600e-02,-4.989058593750000000e+03,4.963969531250000000e+04
7.023605704307556152e-02,1.542265295982360840e+00,1.212073087692260742e+00,1.725875854492187500e+02,3.247279357910156250e+02,2.360161626711487770e-03,-1.768603222444653511e-03,5.592952966690063477e-01,-3.048428535461425781e+00,-1.768603222444653511e-03,1.336512621492147446e-03,-3.925344049930572510e-01,2.226238250732421875e+00,5.592952966690063477e-01,-3.925344049930572510e-01,6.252368652343750000e+03,-6.963109375000000000e+03,-3.048428535461425781e+00,2.226238250732421875e+00,-6.963109375000000000e+03,2.971090234375000000e+04
4.660489782691001892e-02,1.517128705978393555e+00,1.226251125335693359e+00,3.865555725097656250e+02,8.989152832031250000e+02,7.539867656305432320e-04,-5.856494535692036152e-04,-3.699658513069152832e-01,-2.197386741638183594e+00,-5.856494535692036152e-04,4.568423319142311811e-04,3.060928583145141602e-01,1.686359882354736328e+00,-3.699658513069152832e-01,3.060928583145141602e-01,3.652053125000000000e+04,-2.963933984375000000e+04,-2.197386741638183594e+00,1.686359882354736328e+00,-2.963933984375000000e+04,1.901275937500000000e+05
2.403444983065128326e-02,1.599878430366516113e+00,1.170264244079589844e+00,5.971633300781250000e+02,3.559984130859375000e+02,2.021735301241278648e-03,-1.351359533146023750e-03,-4.751733303070068359e+00,-1.064029455184936523e+00,-1.351359533146023750e-03,9.158166358247399330e-04,3.041715145111083984e+00,7.155901193618774414e-01,-4.751733303070068359e+00,3.041715145111083984e+00,5.079784765625000000e+04,2.693541992187500000e+03,-1.064029455184936523e+00,7.155901193618774414e-01,2.693541992187500000e+03,4.539366796875000000e+04
2.067985385656356812e-02,1.617233991622924805e+00,1.160305023193359375e+00,1.344011230468750000e+02,1.412673095703125000e+03,2.713116351515054703e-03,-1.822868362069129944e-03,-8.268181085586547852e-01,-1.016511154174804688e+01,-1.822868362069129944e-03,1.237692544236779213e-03,6.173987388610839844e-01,5.950660705566406250e+00,-8.268181085586547852e-01,6.173987388610839844e-01,6.194895996093750000e+03,-1.667262890625000000e+04,-1.016511154174804688e+01,5.950660705566406250e+00,-1.667262890625000000e+04,5.572796250000000000e+05
1.917199604213237762e-02,1.374065637588500977e+00,1.356400966644287109e+00,2.048648986816406250e+02,8.359988403320312500e+02,3.981455665780231357e-05,-2.438788942527025938e-05,-3.191485255956649780e-02,5.179494246840476990e-02,-2.438788942527025938e-05,2.907021371356677264e-05,1.551461964845657349e-01,-2.182810902595520020e-01,-3.191485255956649780e-02,1.551461964845657349e-01,1.548636328125000000e+04,-6.285475097656250000e+03,5.179494246840476990e-02,-2.182810902595520020e-01,-6.285475097656250000e+03,1.435457656250000000e+05
6.758411414921283722e-03,1.376585483551025391e+00,1.352585434913635254e+00,1.516879760742187500e+03,7.014213256835937500e+02,6.808466423535719514e-05,-7.158379594329744577e-05,-6.571966409683227539e-01,6.086080074310302734e-01,-7.158379594329744577e-05,9.399777627550065517e-05,2.660021781921386719e-01,-2.924548983573913574e-01,-6.571966409683227539e-01,2.660021781921386719e-01,2.322582031250000000e+05,-4.975710937500000000e+04,6.086080074310302734e-01,-2.924548983573913574e-01,-4.975710937500000000e+04,1.872783750000000000e+05
4.416602849960327148e-02,1.450274467468261719e+00,1.286835074424743652e+00,1.374103240966796875e+02,1.056469726562500000e+03,1.721850014291703701e-03,-1.506434287875890732e-03,1.184857010841369629e+00,-3.477443218231201172e+00,-1.506434287875890732e-03,1.331135281361639500e-03,-9.963564872741699219e-01,3.230257034301757812e+00,1.184857010841369629e+00,-9.963564872741699219e-01,5.396318847656250000e+03,-6.136043945312500000e+03,-3.477443218231201172e+00,3.230257034301757812e+00,-6.136043945312500000e+03,2.335837968750000000e+05
1.904473826289176941e-02,1.502903699874877930e+00,1.245176911354064941e+00,7.292687988281250000e+02,1.319843261718750000e+03,2.718813717365264893e-03,-2.107357373461127281e-03,-2.084747791290283203e+00,4.073046207427978516e+00,-2.107357373461127281e-03,1.651818398386240005e-03,1.423246979713439941e+00,-3.757358074188232422e+00,-2.084747791290283203e+00,1.423246979713439941e+00,1.082526093750000000e+05,-8.288960937500000000e+04,4.073046207427978516e+00,-3.757358074188232422e+00,-8.288960937500000000e+04,4.537261250000000000e+05
2.729080384597182274e-03,1.410770535469055176e+00,1.320641875267028809e+00,2.673484497070312500e+02,2.849470703125000000e+03,8.815276669338345528e-04,-8.342855726368725300e-04,-1.915192365646362305e+00,1.672671079635620117e+00,-8.342855726368725300e-04,7.994864135980606079e-04,1.578514933586120605e+00,-1.624030113220214844e+00,-1.915192365646362305e+00,1.578514933586120605e+00,5.801468359375000000e+04,-5.497185937500000000e+04,1.672671079635620117e+00,-1.624030113220214844e+00,-5.497185937500000000e+04,1.058016796875000000e+05
