amp,mu_0,mu_1,mu_2,mu_3,Sigma_0_0,Sigma_0_1,Sigma_0_2,Sigma_0_3,Sigma_1_0,Sigma_1_1,Sigma_1_2,Sigma_1_3,Sigma_2_0,Sigma_2_1,Sigma_2_2,Sigma_2_3,Sigma_3_0,Sigma_3_1,Sigma_3_2,Sigma_3_3
3.404016420245170593e-02,1.697484374046325684e+00,1.105542063713073730e+00,4.542302246093750000e+02,4.131856994628906250e+02,1.834672293625771999e-03,-1.082579605281352997e-03,-9.585725069046020508e-01,-8.762247562408447266e-01,-1.082579605281352997e-03,6.425551837310194969e-04,7.072621583938598633e-01,4.748738110065460205e-01,-9.585725069046020508e-01,7.072621583938598633e-01,4.547826953125000000e+04,-5.179024902343750000e+03,-8.762247562408447266e-01,4.748738110065460205e-01,-5.179024902343750000e+03,6.390853125000000000e+04
5.341580510139465332e-02,1.517695188522338867e+00,1.229550838470458984e+00,1.612219848632812500e+02,3.379486389160156250e+02,1.651928760111331940e-03,-1.263919286429882050e-03,-3.795380294322967529e-01,-4.550179839134216309e-01,-1.263919286429882050e-03,9.767730953171849251e-04,3.511525988578796387e-01,1.493389457464218140e-01,-3.795380294322967529e-01,3.511525988578796387e-01,6.071373535156250000e+03,-6.747329589843750000e+03,-4.550179839134216309e-01,1.493389457464218140e-01,-6.747329589843750000e+03,2.931071875000000000e+04
3.326431615278124809e-04,1.481366991996765137e+00,1.265585780143737793e+00,1.641002929687500000e+03,2.608965454101562500e+02,1.280138618312776089e-03,-1.159721869044005871e-03,9.338244438171386719e+00,1.010076403617858887e+00,-1.159721869044005871e-03,1.056200475431978703e-03,-8.573607444763183594e+00,-9.934065937995910645e-01,9.338244438171386719e+00,-8.573607444763183594e+00,7.097203906250000000e+04,7.960958984375000000e+03,1.010076403617858887e+00,-9.934065937995910645e-01,7.960958984375000000e+03,4.911073730468750000e+03
2.441423013806343079e-03,1.662742137908935547e+00,1.132513523101806641e+00,4.135898132324218750e+02,3.605029541015625000e+03,1.259846240282058716e-02,-7.756121456623077393e-03,1.734409451484680176e+00,1.906550407409667969e+01,-7.756121456623077393e-03,4.825658164918422699e-03,-1.254601716995239258e+00,-1.061110401153564453e+01,1.734409451484680176e+00,-1.254601716995239258e+00,2.496523242187500000e+04,-2.977801953125000000e+04,1.906550407409667969e+01,-1.061110401153564453e+01,-2.977801953125000000e+04,4.408073437500000000e+05
4.924933612346649170e-02,1.806687593460083008e+00,1.044911503791809082e+00,8.182629394531250000e+01,3.726224060058593750e+02,1.277438248507678509e-03,-6.505131605081260204e-04,-6.315430998802185059e-02,-6.247429251670837402e-01,-6.505131605081260204e-04,3.372641513124108315e-04,1.856053434312343597e-02,3.641557097434997559e-01,-6.315430998802185059e-02,1.856053434312343597e-02,2.706890869140625000e+03,-5.366595703125000000e+03,-6.247429251670837402e-01,3.641557097434997559e-01,-5.366595703125000000e+03,6.035903125000000000e+04
3.270541131496429443e-02,1.591564297676086426e+00,1.172153711318969727e+00,2.692300415039062500e+02,1.065850830078125000e+03,8.675663266330957413e-04,-6.024058675393462181e-04,6.225942075252532959e-02,1.317794322967529297e-01,-6.024058675393462181e-04,4.194760986138135195e-04,1.201072148978710175e-02,-1.253312230110168457e-01,6.225942075252532959e-02,1.201072148978710175e-02,1.700094140625000000e+04,-2.816483398437500000e+04,1.317794322967529297e-01,-1.253312230110168457e-01,-2.816483398437500000e+04,3.540537500000000000e+05
4.346909373998641968e-02,1.439868927001953125e+00,1.294201135635375977e+00,8.220401611328125000e+02,2.107740478515625000e+02,1.755016739480197430e-03,-1.537144649773836136e-03,-4.593792915344238281e+00,6.882034242153167725e-02,-1.537144649773836136e-03,1.360528520308434963e-03,3.748130559921264648e+00,-4.612930491566658020e-02,-4.593792915344238281e+00,3.748130559921264648e+00,1.700687343750000000e+05,1.833994873046875000e+03,6.882034242153167725e-02,-4.612930491566658020e-02,1.833994873046875000e+03,1.978693554687500000e+04
7.689928263425827026e-02,1.663763880729675293e+00,1.127310395240783691e+00,5.043403625488281250e+01,6.124381713867187500e+02,1.944199786521494389e-03,-1.212470931932330132e-03,-1.713874936103820801e-01,1.632028341293334961e+00,-1.212470931932330132e-03,7.630944601260125637e-04,1.112950965762138367e-01,-1.127679347991943359e+00,-1.713874936103820801e-01,1.112950965762138367e-01,1.003949829101562500e+03,-2.001296386718750000e+03,1.632028341293334961e+00,-1.127679347991943359e+00,-2.001296386718750000e+03,7.089789843750000000e+04
2.674886398017406464e-02,1.525612354278564453e+00,1.220336437225341797e+00,2.208746337890625000e+02,1.409650268554687500e+02,9.392226929776370525e-04,-7.217940874397754669e-04,-1.543181091547012329e-01,-2.916117571294307709e-02,-7.217940874397754669e-04,5.562856094911694527e-04,1.256186962127685547e-01,2.104647457599639893e-02,-1.543181091547012329e-01,1.256186962127685547e-01,9.048545898437500000e+03,-3.784870605468750000e+03,-2.916117571294307709e-02,2.104647457599639893e-02,-3.784870605468750000e+03,8.822512695312500000e+03
1.848928444087505341e-02,2.227850914001464844e+00,8.732361197471618652e-01,1.341787719726562500e+01,6.764403686523437500e+02,7.144556846469640732e-03,-2.334461314603686333e-03,1.179176047444343567e-01,-5.737610816955566406e+00,-2.334461314603686333e-03,7.664081640541553497e-04,-3.798527270555496216e-02,1.861706733703613281e+00,1.179176047444343567e-01,-3.798527270555496216e-02,9.768658447265625000e+01,-4.976091918945312500e+02,-5.737610816955566406e+00,1.861706733703613281e+00,-4.976091918945312500e+02,2.095853593750000000e+05
