amp,mu_0,mu_1,mu_2,mu_3,Sigma_0_0,Sigma_0_1,Sigma_0_2,Sigma_0_3,Sigma_1_0,Sigma_1_1,Sigma_1_2,Sigma_1_3,Sigma_2_0,Sigma_2_1,Sigma_2_2,Sigma_2_3,Sigma_3_0,Sigma_3_1,Sigma_3_2,Sigma_3_3
9.105414152145385742e-02,1.553611159324645996e+00,1.202075123786926270e+00,1.675082244873046875e+02,2.774277343750000000e+02,1.587563659995794296e-03,-1.161181367933750153e-03,-1.755234003067016602e-01,-1.151313304901123047e+00,-1.161181367933750153e-03,8.573157247155904770e-04,1.521286815404891968e-01,8.585822582244873047e-01,-1.755234003067016602e-01,1.521286815404891968e-01,6.508809570312500000e+03,-4.644648437500000000e+03,-1.151313304901123047e+00,8.585822582244873047e-01,-4.644648437500000000e+03,1.617654589843750000e+04
3.930415585637092590e-02,1.383630394935607910e+00,1.345398664474487305e+00,2.771480712890625000e+02,9.833994140625000000e+02,1.435749145457521081e-04,-1.371909165754914284e-04,9.960055351257324219e-02,6.809838861227035522e-02,-1.371909165754914284e-04,1.471365394536405802e-04,5.662454664707183838e-02,-2.702346742153167725e-01,9.960055351257324219e-02,5.662454664707183838e-02,2.002043945312500000e+04,-6.293363281250000000e+03,6.809838861227035522e-02,-2.702346742153167725e-01,-6.293363281250000000e+03,1.123780859375000000e+05
6.232853047549724579e-03,1.706725120544433594e+00,1.100304245948791504e+00,1.468194274902343750e+02,2.778957519531250000e+02,5.673428531736135483e-04,-3.272182075306773186e-04,-1.305481195449829102e+00,8.943337202072143555e-01,-3.272182075306773186e-04,1.953808823600411415e-04,7.865559458732604980e-01,-5.276577472686767578e-01,-1.305481195449829102e+00,7.865559458732604980e-01,4.034344482421875000e+03,-5.608551757812500000e+03,8.943337202072143555e-01,-5.276577472686767578e-01,-5.608551757812500000e+03,3.105644531250000000e+04
4.901632200926542282e-03,1.607331275939941406e+00,1.166071057319641113e+00,4.523581848144531250e+02,7.718361816406250000e+02,1.636297092773020267e-03,-1.118780928663909435e-03,2.401612281799316406e+00,-2.119309753179550171e-01,-1.118780928663909435e-03,7.778835715726017952e-04,-1.695765733718872070e+00,1.039296761155128479e-02,2.401612281799316406e+00,-1.695765733718872070e+00,1.511904199218750000e+04,1.771444921875000000e+04,-2.119309753179550171e-01,1.039296761155128479e-02,1.771444921875000000e+04,2.958541406250000000e+04
2.789444057270884514e-03,1.440092921257019043e+00,1.296624302864074707e+00,1.664640014648437500e+03,6.741614379882812500e+02,1.004729652777314186e-03,-9.009402710944414139e-04,-3.904688596725463867e+00,-3.126980662345886230e-01,-9.009402710944414139e-04,8.268255041912198067e-04,3.302645683288574219e+00,5.308326482772827148e-01,-3.904688596725463867e+00,3.302645683288574219e+00,1.102255234375000000e+05,-7.504746875000000000e+04,-3.126980662345886230e-01,5.308326482772827148e-01,-7.504746875000000000e+04,9.802764062500000000e+04
6.943644955754280090e-03,1.415902376174926758e+00,1.315264463424682617e+00,1.226554809570312500e+03,4.243822631835937500e+02,4.615927755367010832e-04,-4.201758420094847679e-04,4.638366103172302246e-01,-3.811827898025512695e+00,-4.201758420094847679e-04,3.989741380792111158e-04,-1.617882102727890015e-01,3.322598695755004883e+00,4.638366103172302246e-01,-1.617882102727890015e-01,1.790828515625000000e+04,-1.281005468750000000e+04,-3.811827898025512695e+00,3.322598695755004883e+00,-1.281005468750000000e+04,4.215579296875000000e+04
2.035294659435749054e-03,1.513270854949951172e+00,1.233879566192626953e+00,4.076294555664062500e+02,3.071789794921875000e+03,2.139209769666194916e-03,-1.550433691591024399e-03,-1.175123304128646851e-01,-2.656354427337646484e+00,-1.550433691591024399e-03,1.132002682425081730e-03,5.417271852493286133e-01,1.708972692489624023e+00,-1.175123304128646851e-01,5.417271852493286133e-01,7.021159375000000000e+04,-8.503462500000000000e+04,-2.656354427337646484e+00,1.708972692489624023e+00,-8.503462500000000000e+04,1.573876093750000000e+05
5.838337168097496033e-02,1.448967695236206055e+00,1.282958269119262695e+00,1.871905059814453125e+02,2.951370239257812500e+02,8.326992392539978027e-04,-7.197682280093431473e-04,6.630365848541259766e-01,-7.848016023635864258e-01,-7.197682280093431473e-04,6.243992829695343971e-04,-5.758107900619506836e-01,7.392464280128479004e-01,6.630365848541259766e-01,-5.758107900619506836e-01,1.061763378906250000e+04,-6.172205078125000000e+03,-7.848016023635864258e-01,7.392464280128479004e-01,-6.172205078125000000e+03,1.873390234375000000e+04
7.343525439500808716e-02,1.489202022552490234e+00,1.252121210098266602e+00,7.195166015625000000e+01,4.973538818359375000e+02,1.458891201764345169e-03,-1.197031117044389248e-03,1.860081590712070465e-02,-9.204270839691162109e-01,-1.197031117044389248e-03,9.917387505993247032e-04,1.632027444429695606e-03,7.526040673255920410e-01,1.860081590712070465e-02,1.632027444429695606e-03,1.846117797851562500e+03,-1.967042114257812500e+03,-9.204270839691162109e-01,7.526040673255920410e-01,-1.967042114257812500e+03,3.894620312500000000e+04
4.527137055993080139e-02,1.383199095726013184e+00,1.346434831619262695e+00,9.142089843750000000e+02,2.739537963867187500e+02,1.615400396985933185e-04,-1.442438224330544472e-04,2.729277312755584717e-01,-4.053517282009124756e-01,-1.442438224330544472e-04,1.450824202038347721e-04,-4.679906368255615234e-01,3.721425533294677734e-01,2.729277312755584717e-01,-4.679906368255615234e-01,1.069490078125000000e+05,-1.652737500000000000e+04,-4.053517282009124756e-01,3.721425533294677734e-01,-1.652737500000000000e+04,2.566263476562500000e+04
4.025539010763168335e-02,1.545679092407226562e+00,1.211117148399353027e+00,8.594721984863281250e+01,1.280569824218750000e+03,2.396336756646633148e-03,-1.832620822824537754e-03,-2.641088962554931641e-01,4.683534622192382812e+00,-1.832620822824537754e-03,1.414409838616847992e-03,1.928452104330062866e-01,-4.196414947509765625e+00,-2.641088962554931641e-01,1.928452104330062866e-01,3.142437744140625000e+03,-5.805958007812500000e+03,4.683534622192382812e+00,-4.196414947509765625e+00,-5.805958007812500000e+03,3.389461875000000000e+05
6.447435915470123291e-02,1.477401971817016602e+00,1.263012886047363281e+00,2.572493896484375000e+02,9.765059814453125000e+02,9.601047495380043983e-04,-8.018505759537220001e-04,3.201550841331481934e-01,9.604876041412353516e-01,-8.018505759537220001e-04,6.801678682677447796e-04,-1.934615820646286011e-01,-1.478341579437255859e+00,3.201550841331481934e-01,-1.934615820646286011e-01,1.445301562500000000e+04,-1.517850390625000000e+04,9.604876041412353516e-01,-1.478341579437255859e+00,-1.517850390625000000e+04,1.934134062500000000e+05
