amp,mu_0,mu_1,mu_2,mu_3,Sigma_0_0,Sigma_0_1,Sigma_0_2,Sigma_0_3,Sigma_1_0,Sigma_1_1,Sigma_1_2,Sigma_1_3,Sigma_2_0,Sigma_2_1,Sigma_2_2,Sigma_2_3,Sigma_3_0,Sigma_3_1,Sigma_3_2,Sigma_3_3
4.962328076362609863e-02,1.527956128120422363e+00,1.222833752632141113e+00,5.171612548828125000e+01,6.898912353515625000e+02,1.605913392268121243e-03,-1.223607803694903851e-03,-3.467054963111877441e-01,1.290558576583862305e+00,-1.223607803694903851e-03,9.427768527530133724e-04,2.667448222637176514e-01,-1.079939126968383789e+00,-3.467054963111877441e-01,2.667448222637176514e-01,8.531241455078125000e+02,-1.213170776367187500e+03,1.290558576583862305e+00,-1.079939126968383789e+00,-1.213170776367187500e+03,7.482298437500000000e+04
1.953637413680553436e-02,1.603480100631713867e+00,1.170782685279846191e+00,3.044660949707031250e+02,1.198107666015625000e+03,2.710015513002872467e-03,-1.857948722317814827e-03,9.586656689643859863e-01,-5.963438034057617188e+00,-1.857948722317814827e-03,1.284160185605287552e-03,-6.477043628692626953e-01,4.008630752563476562e+00,9.586656689643859863e-01,-6.477043628692626953e-01,2.856600000000000000e+04,-2.102453125000000000e+04,-5.963438034057617188e+00,4.008630752563476562e+00,-2.102453125000000000e+04,3.365009062500000000e+05
1.924817916005849838e-03,1.674248456954956055e+00,1.120591044425964355e+00,2.092645874023437500e+02,1.189863769531250000e+03,1.109803793951869011e-03,-6.732996553182601929e-04,-2.285963058471679688e+00,4.707959175109863281e+00,-6.732996553182601929e-04,4.128604487050324678e-04,1.365440607070922852e+00,-2.889838218688964844e+00,-2.285963058471679688e+00,1.365440607070922852e+00,1.466182617187500000e+04,-1.468054296875000000e+04,4.707959175109863281e+00,-2.889838218688964844e+00,-1.468054296875000000e+04,3.207364453125000000e+04
2.108598127961158752e-03,1.674184918403625488e+00,1.125645875930786133e+00,1.094250488281250000e+02,1.596043395996093750e+02,1.440766733139753342e-03,-1.024220837280154228e-03,-9.157367944717407227e-01,-2.215328216552734375e+00,-1.024220837280154228e-03,7.303358870558440685e-04,6.377462744712829590e-01,1.608894109725952148e+00,-9.157367944717407227e-01,6.377462744712829590e-01,2.096475341796875000e+03,-2.336248168945312500e+02,-2.215328216552734375e+00,1.608894109725952148e+00,-2.336248168945312500e+02,1.364478222656250000e+04
5.542747676372528076e-02,1.442040443420410156e+00,1.294577240943908691e+00,3.036188354492187500e+02,4.000047912597656250e+02,1.122752088122069836e-03,-9.763335110619664192e-04,-7.680562883615493774e-02,-8.687418103218078613e-01,-9.763335110619664192e-04,8.612163946963846684e-04,1.823965758085250854e-01,4.890872240066528320e-01,-7.680562883615493774e-02,1.823965758085250854e-01,1.330950585937500000e+04,-6.278476562500000000e+03,-8.687418103218078613e-01,4.890872240066528320e-01,-6.278476562500000000e+03,2.874025000000000000e+04
1.731278561055660248e-02,1.678552985191345215e+00,1.119336009025573730e+00,1.220604553222656250e+02,5.358229980468750000e+02,2.213730243965983391e-03,-1.333128777332603931e-03,-7.586535215377807617e-01,-6.646758317947387695e-01,-1.333128777332603931e-03,8.096717647276818752e-04,4.138821959495544434e-01,6.142026782035827637e-01,-7.586535215377807617e-01,4.138821959495544434e-01,5.987372070312500000e+03,-5.855211914062500000e+03,-6.646758317947387695e-01,6.142026782035827637e-01,-5.855211914062500000e+03,6.002242968750000000e+04
2.745364047586917877e-02,1.388371825218200684e+00,1.342397451400756836e+00,1.500894775390625000e+02,7.425993652343750000e+02,1.513602910563349724e-04,-1.292324741370975971e-04,2.543629407882690430e-01,1.225443482398986816e-01,-1.292324741370975971e-04,1.226464228238910437e-04,-2.373761534690856934e-01,-3.875855505466461182e-01,2.543629407882690430e-01,-2.373761534690856934e-01,6.683602539062500000e+03,-1.573708007812500000e+03,1.225443482398986816e-01,-3.875855505466461182e-01,-1.573708007812500000e+03,1.140862500000000000e+05
6.078564375638961792e-02,1.555440664291381836e+00,1.203714370727539062e+00,1.521143341064453125e+02,5.254606323242187500e+02,2.018013969063758850e-03,-1.488112728111445904e-03,-1.217568874359130859e+00,1.395549058914184570e+00,-1.488112728111445904e-03,1.107866759411990643e-03,9.067107439041137695e-01,-1.177766561508178711e+00,-1.217568874359130859e+00,9.067107439041137695e-01,5.391495117187500000e+03,-4.370745605468750000e+03,1.395549058914184570e+00,-1.177766561508178711e+00,-4.370745605468750000e+03,4.447949609375000000e+04
5.795092880725860596e-02,1.449410080909729004e+00,1.286615252494812012e+00,1.232216644287109375e+02,5.962962646484375000e+02,1.244981074705719948e-03,-1.063207746483385563e-03,5.363110303878784180e-01,-2.498894184827804565e-01,-1.063207746483385563e-03,9.190655546262860298e-04,-4.363484978675842285e-01,1.297708451747894287e-01,5.363110303878784180e-01,-4.363484978675842285e-01,2.684578125000000000e+03,-2.628660644531250000e+03,-2.498894184827804565e-01,1.297708451747894287e-01,-2.628660644531250000e+03,4.332216796875000000e+04
1.797284744679927826e-02,1.628809094429016113e+00,1.149128437042236328e+00,6.888793945312500000e+01,9.984456787109375000e+02,1.254328642971813679e-03,-8.219297742471098900e-04,-4.552528858184814453e-01,6.121064424514770508e-01,-8.219297742471098900e-04,5.430668825283646584e-04,2.719930410385131836e-01,-1.835816800594329834e-01,-4.552528858184814453e-01,2.719930410385131836e-01,1.887594970703125000e+03,5.040905151367187500e+02,6.121064424514770508e-01,-1.835816800594329834e-01,5.040905151367187500e+02,3.106305625000000000e+05
3.007496707141399384e-02,1.566273212432861328e+00,1.191965937614440918e+00,2.867304382324218750e+02,1.057629638671875000e+03,1.169073162600398064e-03,-8.375191828235983849e-04,4.965314865112304688e-01,-1.575887203216552734e+00,-8.375191828235983849e-04,6.033962708897888660e-04,-4.343129992485046387e-01,1.242349982261657715e+00,4.965314865112304688e-01,-4.343129992485046387e-01,2.108661718750000000e+04,-2.212835937500000000e+04,-1.575887203216552734e+00,1.242349982261657715e+00,-2.212835937500000000e+04,2.125877500000000000e+05
