amp,mu_0,mu_1,mu_2,mu_3,Sigma_0_0,Sigma_0_1,Sigma_0_2,Sigma_0_3,Sigma_1_0,Sigma_1_1,Sigma_1_2,Sigma_1_3,Sigma_2_0,Sigma_2_1,Sigma_2_2,Sigma_2_3,Sigma_3_0,Sigma_3_1,Sigma_3_2,Sigma_3_3
2.767870202660560608e-02,2.264578819274902344e+00,1.229819297790527344e+00,8.720239868164062500e+02,8.568492431640625000e+02,3.413408622145652771e-02,-1.563490182161331177e-02,-3.278679275512695312e+01,-1.841923141479492188e+01,-1.563490182161331177e-02,7.556251250207424164e-03,1.675791740417480469e+01,7.865346908569335938e+00,-3.278679275512695312e+01,1.675791740417480469e+01,1.624712343750000000e+05,3.598596484375000000e+04,-1.841923141479492188e+01,7.865346908569335938e+00,3.598596484375000000e+04,2.013186406250000000e+05
3.949329257011413574e-02,1.706125020980834961e+00,1.598533391952514648e+00,1.643076477050781250e+02,5.765229492187500000e+02,1.305369660258293152e-03,-9.065351914614439011e-04,-2.997537851333618164e-01,3.101375579833984375e+00,-9.065351914614439011e-04,1.287200604565441608e-03,2.874841541051864624e-02,-2.403730392456054688e+00,-2.997537851333618164e-01,2.874841541051864624e-02,9.456337890625000000e+03,-9.054091796875000000e+02,3.101375579833984375e+00,-2.403730392456054688e+00,-9.054091796875000000e+02,1.121861093750000000e+05
4.892122745513916016e-02,1.865419507026672363e+00,1.467585086822509766e+00,4.796096801757812500e+02,3.439353759765625000e+03,1.101797632873058319e-02,-7.645463570952415466e-03,2.635197639465332031e+00,7.338286042213439941e-01,-7.645463570952415466e-03,5.921955686062574387e-03,-2.086006879806518555e+00,-8.048482537269592285e-01,2.635197639465332031e+00,-2.086006879806518555e+00,4.107960937500000000e+04,-4.769398828125000000e+04,7.338286042213439941e-01,-8.048482537269592285e-01,-4.769398828125000000e+04,2.246131250000000000e+06
3.489844501018524170e-02,2.680469989776611328e+00,1.062342286109924316e+00,3.378482971191406250e+02,4.140763671875000000e+03,2.362642250955104828e-02,-7.410997524857521057e-03,1.326954126358032227e+00,-4.585845947265625000e+01,-7.410997524857521057e-03,2.590935211628675461e-03,-4.556050002574920654e-01,8.549629211425781250e+00,1.326954126358032227e+00,-4.556050002574920654e-01,2.778076562500000000e+04,-4.559036718750000000e+04,-4.585845947265625000e+01,8.549629211425781250e+00,-4.559036718750000000e+04,5.739636500000000000e+06
1.920715160667896271e-02,2.689062118530273438e+00,1.063393354415893555e+00,3.789465332031250000e+01,2.521591308593750000e+03,3.299219533801078796e-02,-1.017888449132442474e-02,1.065037623047828674e-01,-1.180137023925781250e+02,-1.017888449132442474e-02,3.397819120436906815e-03,5.961141549050807953e-03,3.903368377685546875e+01,1.065037623047828674e-01,5.961141549050807953e-03,6.505209960937500000e+02,3.608553222656250000e+03,-1.180137023925781250e+02,3.903368377685546875e+01,3.608553222656250000e+03,2.468115250000000000e+06
2.527629770338535309e-02,2.432193756103515625e+00,1.154288530349731445e+00,7.654171752929687500e+02,4.520653320312500000e+03,3.255562111735343933e-02,-1.213573850691318512e-02,7.361245155334472656e+00,-4.170933532714843750e+01,-1.213573850691318512e-02,4.858189728111028671e-03,-2.559638500213623047e+00,1.545703125000000000e+01,7.361245155334472656e+00,-2.559638500213623047e+00,9.433161718750000000e+04,-6.786681250000000000e+04,-4.170933532714843750e+01,1.545703125000000000e+01,-6.786681250000000000e+04,5.729358000000000000e+06
4.847803711891174316e-02,2.237303495407104492e+00,1.245424032211303711e+00,3.558160705566406250e+02,4.683893554687500000e+03,2.436287328600883484e-02,-1.156106963753700256e-02,3.451509237289428711e+00,-8.716122436523437500e+01,-1.156106963753700256e-02,5.859679542481899261e-03,-1.557906508445739746e+00,3.734884643554687500e+01,3.451509237289428711e+00,-1.557906508445739746e+00,2.570625195312500000e+04,-8.578264062500000000e+04,-8.716122436523437500e+01,3.734884643554687500e+01,-8.578264062500000000e+04,4.745003000000000000e+06
1.092313788831233978e-02,2.556344509124755859e+00,1.110562086105346680e+00,1.513568725585937500e+02,8.570175781250000000e+03,3.638041391968727112e-02,-1.142239570617675781e-02,7.870691776275634766e+00,2.211305046081542969e+01,-1.142239570617675781e-02,3.850097069516777992e-03,-2.453681945800781250e+00,-8.110933303833007812e+00,7.870691776275634766e+00,-2.453681945800781250e+00,1.017286621093750000e+04,1.245046875000000000e+04,2.211305046081542969e+01,-8.110933303833007812e+00,1.245046875000000000e+04,7.618565625000000000e+05
3.185222297906875610e-02,2.043374538421630859e+00,1.351583242416381836e+00,1.203535766601562500e+03,4.519136718750000000e+03,2.086978033185005188e-02,-1.174436975270509720e-02,5.588583946228027344e+00,-4.623913955688476562e+01,-1.174436975270509720e-02,7.160395849496126175e-03,-5.121823310852050781e+00,2.789289283752441406e+01,5.588583946228027344e+00,-5.121823310852050781e+00,2.814159062500000000e+05,-8.640256250000000000e+05,-4.623913955688476562e+01,2.789289283752441406e+01,-8.640256250000000000e+05,4.704729500000000000e+06
3.231026977300643921e-02,1.822871685028076172e+00,1.500572562217712402e+00,2.268238037109375000e+03,1.751450439453125000e+03,8.498781360685825348e-03,-5.951303057372570038e-03,-3.746288299560546875e+01,-9.628356933593750000e+00,-5.951303057372570038e-03,4.902353044599294662e-03,2.637688827514648438e+01,8.841807365417480469e+00,-3.746288299560546875e+01,2.637688827514648438e+01,8.727088125000000000e+05,-2.712277812500000000e+05,-9.628356933593750000e+00,8.841807365417480469e+00,-2.712277812500000000e+05,7.154868750000000000e+05
