amp,mu_0,mu_1,mu_2,mu_3,Sigma_0_0,Sigma_0_1,Sigma_0_2,Sigma_0_3,Sigma_1_0,Sigma_1_1,Sigma_1_2,Sigma_1_3,Sigma_2_0,Sigma_2_1,Sigma_2_2,Sigma_2_3,Sigma_3_0,Sigma_3_1,Sigma_3_2,Sigma_3_3
2.380200289189815521e-02,1.704575657844543457e+00,1.598330378532409668e+00,1.650891723632812500e+03,4.261877136230468750e+02,9.694289765320718288e-04,-4.842884954996407032e-04,-1.835090160369873047e+00,7.061672210693359375e-01,-4.842884954996407032e-04,9.051634697243571281e-04,1.592111587524414062e+00,-2.528677582740783691e-01,-1.835090160369873047e+00,1.592111587524414062e+00,5.093020625000000000e+05,-5.354383203125000000e+04,7.061672210693359375e-01,-2.528677582740783691e-01,-5.354383203125000000e+04,4.433552343750000000e+04
3.525293990969657898e-02,1.704226255416870117e+00,1.599508881568908691e+00,9.027990722656250000e+01,5.810000610351562500e+02,9.158422471955418587e-04,-4.093699681106954813e-04,4.636877477169036865e-01,-2.350299358367919922e+00,-4.093699681106954813e-04,7.761025917716324329e-04,-4.545281529426574707e-01,1.505638360977172852e+00,4.636877477169036865e-01,-4.545281529426574707e-01,1.842575683593750000e+03,-2.967638183593750000e+03,-2.350299358367919922e+00,1.505638360977172852e+00,-2.967638183593750000e+03,7.996638281250000000e+04
1.733014360070228577e-02,1.695064783096313477e+00,1.602311015129089355e+00,4.230245666503906250e+02,2.047593261718750000e+03,7.623415440320968628e-04,-2.995679387822747231e-04,1.134259819984436035e+00,-2.082674026489257812e+00,-2.995679387822747231e-04,7.261325954459607601e-04,-1.173216700553894043e+00,4.173447608947753906e+00,1.134259819984436035e+00,-1.173216700553894043e+00,3.923797265625000000e+04,-1.293197265625000000e+04,-2.082674026489257812e+00,4.173447608947753906e+00,-1.293197265625000000e+04,7.671138125000000000e+05
3.799134492874145508e-02,1.830942630767822266e+00,1.490792274475097656e+00,6.193573608398437500e+02,1.865286010742187500e+03,6.414711475372314453e-03,-4.296281840652227402e-03,-3.391155719757080078e+00,-1.027562236785888672e+01,-4.296281840652227402e-03,3.534707939252257347e-03,2.390008449554443359e+00,9.058898925781250000e+00,-3.391155719757080078e+00,2.390008449554443359e+00,6.962835156250000000e+04,-4.156158593750000000e+04,-1.027562236785888672e+01,9.058898925781250000e+00,-4.156158593750000000e+04,6.273310625000000000e+05
4.063067212700843811e-02,1.812606692314147949e+00,1.507167100906372070e+00,2.357427673339843750e+02,6.069659423828125000e+01,6.160895340144634247e-03,-4.094338510185480118e-03,5.957068800926208496e-01,-3.636671304702758789e-01,-4.094338510185480118e-03,3.364144358783960342e-03,-4.996832013130187988e-01,2.688371539115905762e-01,5.957068800926208496e-01,-4.996832013130187988e-01,1.416787402343750000e+04,4.083811645507812500e+02,-3.636671304702758789e-01,2.688371539115905762e-01,4.083811645507812500e+02,1.169347656250000000e+03
2.425358071923255920e-02,1.658736348152160645e+00,1.643002390861511230e+00,4.705006408691406250e+02,3.051214904785156250e+02,2.550818026065826416e-04,2.015525242313742638e-04,4.442321956157684326e-01,3.039582073688507080e-01,2.015525242313742638e-04,2.439682866679504514e-04,2.221447601914405823e-02,1.582356691360473633e-01,4.442321956157684326e-01,2.221447601914405823e-02,6.336376953125000000e+04,-1.790551269531250000e+03,3.039582073688507080e-01,1.582356691360473633e-01,-1.790551269531250000e+03,2.953140820312500000e+04
1.032940391451120377e-02,1.737040758132934570e+00,1.571896433830261230e+00,2.105663818359375000e+03,1.591755249023437500e+03,2.931671682745218277e-03,-1.980994828045368195e-03,-1.264387369155883789e+00,-1.107119941711425781e+01,-1.980994828045368195e-03,2.130392706021666527e-03,-8.244702219963073730e-01,8.713903427124023438e+00,-1.264387369155883789e+00,-8.244702219963073730e-01,8.375165000000000000e+05,-2.298419218750000000e+05,-1.107119941711425781e+01,8.713903427124023438e+00,-2.298419218750000000e+05,7.075356875000000000e+05
4.481151700019836426e-02,1.835753083229064941e+00,1.488151788711547852e+00,1.043359375000000000e+02,7.958464965820312500e+02,6.923286244273185730e-03,-4.835543688386678696e-03,-5.997829437255859375e-01,-1.547583389282226562e+01,-4.835543688386678696e-03,4.002544097602367401e-03,4.186355471611022949e-01,1.137473964691162109e+01,-5.997829437255859375e-01,4.186355471611022949e-01,1.944762573242187500e+03,7.059133300781250000e+02,-1.547583389282226562e+01,1.137473964691162109e+01,7.059133300781250000e+02,1.160593125000000000e+05
2.264970168471336365e-02,1.755283832550048828e+00,1.554944992065429688e+00,2.176672973632812500e+02,2.257525390625000000e+03,2.694325754418969154e-03,-1.882169861346483231e-03,1.574646949768066406e+00,7.763216018676757812e+00,-1.882169861346483231e-03,2.064353786408901215e-03,-1.592876315116882324e+00,-7.685096740722656250e+00,1.574646949768066406e+00,-1.592876315116882324e+00,1.160116015625000000e+04,7.158742187500000000e+03,7.763216018676757812e+00,-7.685096740722656250e+00,7.158742187500000000e+03,7.257926875000000000e+05
3.880207240581512451e-02,1.749392032623291016e+00,1.558014392852783203e+00,4.736929321289062500e+01,4.102968750000000000e+02,2.567382762208580971e-03,-1.801204169169068336e-03,3.955638706684112549e-01,1.353758573532104492e+00,-1.801204169169068336e-03,1.945219701156020164e-03,-3.878683149814605713e-01,-1.201553344726562500e+00,3.955638706684112549e-01,-3.878683149814605713e-01,5.756041259765625000e+02,6.984376220703125000e+02,1.353758573532104492e+00,-1.201553344726562500e+00,6.984376220703125000e+02,3.856817187500000000e+04
