amp,mu_0,mu_1,mu_2,mu_3,Sigma_0_0,Sigma_0_1,Sigma_0_2,Sigma_0_3,Sigma_1_0,Sigma_1_1,Sigma_1_2,Sigma_1_3,Sigma_2_0,Sigma_2_1,Sigma_2_2,Sigma_2_3,Sigma_3_0,Sigma_3_1,Sigma_3_2,Sigma_3_3
5.138878524303436279e-02,1.964283943176269531e+00,1.399462938308715820e+00,3.289017333984375000e+02,2.392850341796875000e+02,1.981506869196891785e-02,-1.260153856128454208e-02,-4.845593452453613281e+00,-4.571530342102050781e+00,-1.260153856128454208e-02,8.501697331666946411e-03,3.150259494781494141e+00,3.063837766647338867e+00,-4.845593452453613281e+00,3.150259494781494141e+00,3.186073046875000000e+04,5.486232421875000000e+03,-4.571530342102050781e+00,3.063837766647338867e+00,5.486232421875000000e+03,1.984224218750000000e+04
5.273519083857536316e-02,2.312918663024902344e+00,1.208849668502807617e+00,1.000559082031250000e+02,4.662072753906250000e+02,2.435345761477947235e-02,-1.048931386321783066e-02,-1.641240119934082031e+00,-2.399892091751098633e+00,-1.048931386321783066e-02,4.867846611887216568e-03,6.887046694755554199e-01,1.147117137908935547e+00,-1.641240119934082031e+00,6.887046694755554199e-01,2.828450439453125000e+03,-1.173225708007812500e+03,-2.399892091751098633e+00,1.147117137908935547e+00,-1.173225708007812500e+03,8.557537500000000000e+04
1.456674281507730484e-02,2.452664375305175781e+00,1.149497866630554199e+00,3.268359680175781250e+02,8.848594726562500000e+03,2.079785242676734924e-02,-8.340128697454929352e-03,6.806311607360839844e+00,3.672353506088256836e+00,-8.340128697454929352e-03,3.653872758150100708e-03,-2.762095928192138672e+00,-2.395790100097656250e+00,6.806311607360839844e+00,-2.762095928192138672e+00,3.612014453125000000e+04,5.494662109375000000e+03,3.672353506088256836e+00,-2.395790100097656250e+00,5.494662109375000000e+03,5.287820000000000000e+05
4.206376150250434875e-02,2.441635608673095703e+00,1.155597567558288574e+00,7.029938354492187500e+02,4.411027832031250000e+03,1.822428777813911438e-02,-6.802215706557035446e-03,-6.415065765380859375e+00,1.061920166015625000e+01,-6.802215706557035446e-03,2.853696234524250031e-03,2.569281578063964844e+00,-5.081727981567382812e+00,-6.415065765380859375e+00,2.569281578063964844e+00,8.717273437500000000e+04,-2.412647187500000000e+05,1.061920166015625000e+01,-5.081727981567382812e+00,-2.412647187500000000e+05,4.042983500000000000e+06
6.879342719912528992e-03,2.737841129302978516e+00,1.048792123794555664e+00,9.453591918945312500e+01,7.893927734375000000e+03,1.202722266316413879e-02,-3.292668145149946213e-03,-4.513241052627563477e-01,-6.646275520324707031e-01,-3.292668145149946213e-03,1.131306169554591179e-03,7.183025777339935303e-02,2.608619689941406250e+00,-4.513241052627563477e-01,7.183025777339935303e-02,3.348116943359375000e+03,-2.584655273437500000e+04,-6.646275520324707031e-01,2.608619689941406250e+00,-2.584655273437500000e+04,1.383674375000000000e+06
4.569084569811820984e-02,2.491220951080322266e+00,1.139060497283935547e+00,4.603143310546875000e+02,1.595648315429687500e+03,2.014538459479808807e-02,-7.637382019311189651e-03,-1.400484752655029297e+01,1.050582695007324219e+01,-7.637382019311189651e-03,3.248569555580615997e-03,5.323863029479980469e+00,-4.360527038574218750e+00,-1.400484752655029297e+01,5.323863029479980469e+00,3.416673828125000000e+04,-1.364713085937500000e+04,1.050582695007324219e+01,-4.360527038574218750e+00,-1.364713085937500000e+04,7.202552500000000000e+05
4.134393110871315002e-02,1.862190961837768555e+00,1.467574477195739746e+00,1.278898437500000000e+03,6.696923828125000000e+02,1.157339010387659073e-02,-8.110725320875644684e-03,4.013528823852539062e+00,-1.464612197875976562e+01,-8.110725320875644684e-03,6.254123058170080185e-03,-9.841514825820922852e-01,1.008102512359619141e+01,4.013528823852539062e+00,-9.841514825820922852e-01,3.096409687500000000e+05,2.700359863281250000e+03,-1.464612197875976562e+01,1.008102512359619141e+01,2.700359863281250000e+03,9.675457031250000000e+04
3.206355869770050049e-02,1.942694425582885742e+00,1.415538430213928223e+00,8.882108154296875000e+02,5.125726562500000000e+03,1.592850498855113983e-02,-1.057902164757251740e-02,1.277019977569580078e+01,1.172858428955078125e+01,-1.057902164757251740e-02,7.609922904521226883e-03,-8.679008483886718750e+00,-1.166986465454101562e+01,1.277019977569580078e+01,-8.679008483886718750e+00,1.666550625000000000e+05,-3.482610625000000000e+05,1.172858428955078125e+01,-1.166986465454101562e+01,-3.482610625000000000e+05,3.452011250000000000e+06
2.931595966219902039e-02,2.361500263214111328e+00,1.190173864364624023e+00,2.157073974609375000e+01,1.276749511718750000e+03,2.843731641769409180e-02,-1.178598217666149139e-02,-1.426239609718322754e-01,-1.246775245666503906e+01,-1.178598217666149139e-02,5.247815046459436417e-03,4.840432479977607727e-02,7.741685867309570312e+00,-1.426239609718322754e-01,4.840432479977607727e-02,1.928489685058593750e+02,-9.093106079101562500e+01,-1.246775245666503906e+01,7.741685867309570312e+00,-9.093106079101562500e+01,5.937809375000000000e+05
2.797712199389934540e-02,2.008757352828979492e+00,1.374676108360290527e+00,1.034624633789062500e+02,4.080994384765625000e+03,2.204173058271408081e-02,-1.358130574226379395e-02,8.848779201507568359e-01,6.914105987548828125e+01,-1.358130574226379395e-02,8.911894634366035461e-03,-6.336229443550109863e-01,-4.156546020507812500e+01,8.848779201507568359e-01,-6.336229443550109863e-01,3.659769042968750000e+03,-9.703668945312500000e+03,6.914105987548828125e+01,-4.156546020507812500e+01,-9.703668945312500000e+03,3.574969250000000000e+06
