amp,mu_0,mu_1,mu_2,mu_3,Sigma_0_0,Sigma_0_1,Sigma_0_2,Sigma_0_3,Sigma_1_0,Sigma_1_1,Sigma_1_2,Sigma_1_3,Sigma_2_0,Sigma_2_1,Sigma_2_2,Sigma_2_3,Sigma_3_0,Sigma_3_1,Sigma_3_2,Sigma_3_3
5.695408210158348083e-02,1.799121856689453125e+00,1.517165780067443848e+00,8.076318359375000000e+01,4.630837402343750000e+02,5.823794286698102951e-03,-4.227804951369762421e-03,6.247495412826538086e-01,-2.568638801574707031e+00,-4.227804951369762421e-03,3.738256869837641716e-03,-4.602980017662048340e-01,2.525625228881835938e+00,6.247495412826538086e-01,-4.602980017662048340e-01,1.197797607421875000e+03,1.703489746093750000e+03,-2.568638801574707031e+00,2.525625228881835938e+00,1.703489746093750000e+03,4.824326562500000000e+04
4.578692372888326645e-03,1.661668419837951660e+00,1.640823721885681152e+00,1.520826904296875000e+03,8.054473876953125000e+01,2.573271631263196468e-04,1.911927829496562481e-04,-3.129851538687944412e-04,1.226255521178245544e-01,1.911927829496562481e-04,2.889950410462915897e-04,-7.176667451858520508e-01,1.544758826494216919e-01,-3.129851538687944412e-04,-7.176667451858520508e-01,7.477549375000000000e+05,1.085170019531250000e+04,1.226255521178245544e-01,1.544758826494216919e-01,1.085170019531250000e+04,2.820259521484375000e+03
2.936315350234508514e-02,1.673381805419921875e+00,1.630321145057678223e+00,5.664434814453125000e+02,1.970597229003906250e+02,3.902361786458641291e-04,1.059039350366219878e-04,-1.132018715143203735e-01,4.457115530967712402e-01,1.059039350366219878e-04,3.014779358636587858e-04,4.608354568481445312e-01,-1.839974522590637207e-02,-1.132018715143203735e-01,4.608354568481445312e-01,8.017206250000000000e+04,1.757973388671875000e+03,4.457115530967712402e-01,-1.839974522590637207e-02,1.757973388671875000e+03,9.024245117187500000e+03
1.619490981101989746e-02,1.721498012542724609e+00,1.582666873931884766e+00,1.975975097656250000e+03,4.678676452636718750e+02,1.555680762976408005e-03,-8.535592351108789444e-04,-3.635519981384277344e+00,2.129696607589721680e+00,-8.535592351108789444e-04,1.078713568858802319e-03,3.637799263000488281e+00,-1.380776405334472656e+00,-3.635519981384277344e+00,3.637799263000488281e+00,1.497355000000000000e+05,-4.784925781250000000e+04,2.129696607589721680e+00,-1.380776405334472656e+00,-4.784925781250000000e+04,6.041171484375000000e+04
3.981804009526968002e-03,1.816272258758544922e+00,1.501871943473815918e+00,1.522185791015625000e+03,3.550140380859375000e+03,5.820326972752809525e-03,-3.771195188164710999e-03,-9.074604034423828125e+00,-1.051324653625488281e+01,-3.771195188164710999e-03,3.159689484164118767e-03,7.737712383270263672e+00,4.823681354522705078e+00,-9.074604034423828125e+00,7.737712383270263672e+00,8.903850625000000000e+05,-2.979273750000000000e+05,-1.051324653625488281e+01,4.823681354522705078e+00,-2.979273750000000000e+05,2.991379250000000000e+06
3.932982310652732849e-02,1.672710657119750977e+00,1.632658600807189941e+00,1.944739685058593750e+02,4.306455993652343750e+02,3.478766302578151226e-04,1.047265686793252826e-04,1.711891591548919678e-01,-1.737432479858398438e-01,1.047265686793252826e-04,2.937940007541328669e-04,-3.537597060203552246e-01,1.454895436763763428e-01,1.711891591548919678e-01,-3.537597060203552246e-01,1.180229785156250000e+04,-1.231152587890625000e+03,-1.737432479858398438e-01,1.454895436763763428e-01,-1.231152587890625000e+03,4.732599609375000000e+04
2.538380958139896393e-02,1.753910541534423828e+00,1.555952429771423340e+00,4.351620483398437500e+02,2.003906250000000000e+01,3.546266583725810051e-03,-2.700035925954580307e-03,-9.987236261367797852e-01,-3.464658930897712708e-02,-2.700035925954580307e-03,2.808129647746682167e-03,1.326992750167846680e+00,1.661252463236451149e-03,-9.987236261367797852e-01,1.326992750167846680e+00,5.656293750000000000e+04,2.996356811523437500e+02,-3.464658930897712708e-02,1.661252463236451149e-03,2.996356811523437500e+02,1.423716430664062500e+02
6.186652928590774536e-02,1.724379658699035645e+00,1.584368109703063965e+00,1.255316467285156250e+02,3.381736450195312500e+02,1.523738261312246323e-03,-8.488781750202178955e-04,6.400173902511596680e-01,-3.605462908744812012e-01,-8.488781750202178955e-04,1.097784377634525299e-03,-5.423069000244140625e-01,3.717665672302246094e-01,6.400173902511596680e-01,-5.423069000244140625e-01,3.643022705078125000e+03,8.502113037109375000e+02,-3.605462908744812012e-01,3.717665672302246094e-01,8.502113037109375000e+02,2.256522070312500000e+04
2.011804468929767609e-02,1.737008690834045410e+00,1.568999290466308594e+00,1.095458984375000000e+01,5.820277709960937500e+02,2.700235927477478981e-03,-1.971095334738492966e-03,-5.434463918209075928e-02,1.021361947059631348e+00,-1.971095334738492966e-03,2.163088880479335785e-03,5.538665503263473511e-02,-8.237497210502624512e-01,-5.434463918209075928e-02,5.538665503263473511e-02,4.505208969116210938e+01,-1.804184341430664062e+01,1.021361947059631348e+00,-8.237497210502624512e-01,-1.804184341430664062e+01,1.007150703125000000e+05
4.922928288578987122e-02,1.759140133857727051e+00,1.546053767204284668e+00,1.585972595214843750e+02,8.428000488281250000e+02,3.048257669433951378e-03,-2.310543786734342575e-03,3.000917434692382812e-01,-3.281066179275512695e+00,-2.310543786734342575e-03,2.412988571450114250e-03,-1.896831989288330078e-01,3.239330291748046875e+00,3.000917434692382812e-01,-1.896831989288330078e-01,4.925663574218750000e+03,-1.179032226562500000e+04,-3.281066179275512695e+00,3.239330291748046875e+00,-1.179032226562500000e+04,9.889669531250000000e+04
