amp,mu_0,mu_1,mu_2,mu_3,Sigma_0_0,Sigma_0_1,Sigma_0_2,Sigma_0_3,Sigma_1_0,Sigma_1_1,Sigma_1_2,Sigma_1_3,Sigma_2_0,Sigma_2_1,Sigma_2_2,Sigma_2_3,Sigma_3_0,Sigma_3_1,Sigma_3_2,Sigma_3_3
2.734875306487083435e-02,2.344193458557128906e+00,1.198877930641174316e+00,9.528005981445312500e+01,3.977064819335937500e+02,3.602100908756256104e-02,-1.530839223414659500e-02,6.425745487213134766e-01,-9.208457946777343750e+00,-1.530839223414659500e-02,7.003674749284982681e-03,2.653870284557342529e-01,4.456386089324951172e+00,6.425745487213134766e-01,2.653870284557342529e-01,3.412833984375000000e+03,4.889905395507812500e+02,-9.208457946777343750e+00,4.456386089324951172e+00,4.889905395507812500e+02,4.473480078125000000e+04
1.685699447989463806e-02,1.676444053649902344e+00,1.638725280761718750e+00,9.921500244140625000e+02,6.685610961914062500e+02,4.724218451883643866e-04,1.516989723313599825e-04,3.080955445766448975e-01,8.997874706983566284e-02,1.516989723313599825e-04,3.534287097863852978e-04,-8.456079363822937012e-01,-4.101958870887756348e-01,3.080955445766448975e-01,-8.456079363822937012e-01,3.429516562500000000e+05,-6.663963281250000000e+04,8.997874706983566284e-02,-4.101958870887756348e-01,-6.663963281250000000e+04,1.476879375000000000e+05
3.477405011653900146e-02,2.194690704345703125e+00,1.260651826858520508e+00,9.283133544921875000e+02,2.662429687500000000e+03,2.124989032745361328e-02,-9.965037927031517029e-03,4.320691108703613281e+00,4.605582427978515625e+01,-9.965037927031517029e-03,5.153608042746782303e-03,-1.604830980300903320e+00,-2.147050476074218750e+01,4.320691108703613281e+00,-1.604830980300903320e+00,1.539505000000000000e+05,-9.332575000000000000e+04,4.605582427978515625e+01,-2.147050476074218750e+01,-9.332575000000000000e+04,1.227304750000000000e+06
2.663332968950271606e-02,1.712728738784790039e+00,1.593295693397521973e+00,7.765159301757812500e+02,3.995362548828125000e+02,1.226319931447505951e-03,-6.525634671561419964e-04,2.379811286926269531e+00,2.071182489395141602e+00,-6.525634671561419964e-04,1.296832691878080368e-03,-4.033596515655517578e+00,-3.696933746337890625e+00,2.379811286926269531e+00,-4.033596515655517578e+00,1.343266562500000000e+05,1.692933984375000000e+04,2.071182489395141602e+00,-3.696933746337890625e+00,1.692933984375000000e+04,4.564649609375000000e+04
5.647052824497222900e-02,1.979334831237792969e+00,1.388782978057861328e+00,4.988133239746093750e+02,3.729241333007812500e+02,1.565317995846271515e-02,-9.708626195788383484e-03,-5.443619728088378906e+00,-7.008513450622558594e+00,-9.708626195788383484e-03,6.658917292952537537e-03,4.155730724334716797e+00,4.278337478637695312e+00,-5.443619728088378906e+00,4.155730724334716797e+00,5.103560546875000000e+04,4.585843750000000000e+03,-7.008513450622558594e+00,4.278337478637695312e+00,4.585843750000000000e+03,2.800508398437500000e+04
8.090738952159881592e-02,2.060705184936523438e+00,1.337326407432556152e+00,3.832493286132812500e+02,1.242513549804687500e+03,1.728617772459983826e-02,-9.851632639765739441e-03,1.837754249572753906e+00,-2.498557090759277344e+00,-9.851632639765739441e-03,6.132813170552253723e-03,-7.793651223182678223e-01,1.937519669532775879e+00,1.837754249572753906e+00,-7.793651223182678223e-01,2.562105468750000000e+04,-5.910144531250000000e+03,-2.498557090759277344e+00,1.937519669532775879e+00,-5.910144531250000000e+03,2.641995000000000000e+05
1.356351003050804138e-02,1.759772896766662598e+00,1.552153706550598145e+00,2.381382080078125000e+03,1.586744384765625000e+02,4.179051145911216736e-03,-3.503175918012857437e-03,-3.659348011016845703e+00,-4.215315580368041992e-01,-3.503175918012857437e-03,3.893215442076325417e-03,6.171456336975097656e+00,5.298529863357543945e-01,-3.659348011016845703e+00,6.171456336975097656e+00,1.149017500000000000e+06,2.823964062500000000e+04,-4.215315580368041992e-01,5.298529863357543945e-01,2.823964062500000000e+04,8.762167968750000000e+03
4.003785923123359680e-02,2.294914722442626953e+00,1.215047359466552734e+00,2.515998535156250000e+02,6.533826904296875000e+02,1.287701725959777832e-02,-5.235110409557819366e-03,-8.935888409614562988e-01,1.018186569213867188e+01,-5.235110409557819366e-03,2.528602257370948792e-03,1.283788323402404785e+00,-3.284983634948730469e+00,-8.935888409614562988e-01,1.283788323402404785e+00,1.308353515625000000e+04,-8.040935058593750000e+02,1.018186569213867188e+01,-3.284983634948730469e+00,-8.040935058593750000e+02,9.419048437500000000e+04
2.533085644245147705e-02,2.186888456344604492e+00,1.271902561187744141e+00,2.912350769042968750e+02,1.047369384765625000e+02,2.390285022556781769e-02,-1.136727631092071533e-02,3.265750408172607422e-01,-4.699475467205047607e-01,-1.136727631092071533e-02,5.863305181264877319e-03,7.614016532897949219e-01,4.286126792430877686e-01,3.265750408172607422e-01,7.614016532897949219e-01,2.692488867187500000e+04,5.843119049072265625e+01,-4.699475467205047607e-01,4.286126792430877686e-01,5.843119049072265625e+01,4.240371582031250000e+03
5.724700167775154114e-02,1.877400398254394531e+00,1.453665494918823242e+00,1.287183837890625000e+03,2.261844238281250000e+03,9.912618435919284821e-03,-6.709118373692035675e-03,1.692373466491699219e+01,-4.104061126708984375e+01,-6.709118373692035675e-03,5.232845898717641830e-03,-1.377462577819824219e+01,3.161627388000488281e+01,1.692373466491699219e+01,-1.377462577819824219e+01,3.857573750000000000e+05,-2.646497500000000000e+05,-4.104061126708984375e+01,3.161627388000488281e+01,-2.646497500000000000e+05,9.538655000000000000e+05
2.812470309436321259e-02,2.382741212844848633e+00,1.184319853782653809e+00,3.310693359375000000e+01,2.074922607421875000e+03,4.595781117677688599e-02,-1.776716485619544983e-02,-6.434571743011474609e-01,4.120476913452148438e+01,-1.776716485619544983e-02,7.212923839688301086e-03,2.094565033912658691e-01,-2.037810134887695312e+01,-6.434571743011474609e-01,2.094565033912658691e-01,3.284223632812500000e+02,1.420307373046875000e+03,4.120476913452148438e+01,-2.037810134887695312e+01,1.420307373046875000e+03,1.252675625000000000e+06
1.656925678253173828e-02,2.538664817810058594e+00,1.117458343505859375e+00,5.132769775390625000e+02,2.839834472656250000e+03,2.715308777987957001e-02,-9.202253073453903198e-03,-1.004917716979980469e+01,-2.687215328216552734e+00,-9.202253073453903198e-03,3.497088793665170670e-03,1.875874161720275879e+00,1.048916339874267578e+01,-1.004917716979980469e+01,1.875874161720275879e+00,8.045663281250000000e+04,-1.363848125000000000e+05,-2.687215328216552734e+00,1.048916339874267578e+01,-1.363848125000000000e+05,1.780147000000000000e+06
5.749366804957389832e-02,2.309864044189453125e+00,1.206828474998474121e+00,1.510987243652343750e+02,1.633429443359375000e+03,2.638161927461624146e-02,-1.142083667218685150e-02,-1.730922222137451172e+00,1.694900894165039062e+01,-1.142083667218685150e-02,5.339285824447870255e-03,1.009873986244201660e+00,-6.602425098419189453e+00,-1.730922222137451172e+00,1.009873986244201660e+00,5.102050292968750000e+03,5.534831054687500000e+03,1.694900894165039062e+01,-6.602425098419189453e+00,5.534831054687500000e+03,3.935357812500000000e+05
1.376545149832963943e-02,1.969765782356262207e+00,1.391833305358886719e+00,2.203460205078125000e+03,2.817560302734375000e+03,1.999525912106037140e-02,-1.265413500368595123e-02,-2.931570243835449219e+01,-2.573553466796875000e+01,-1.265413500368595123e-02,8.720157667994499207e-03,1.981656837463378906e+01,1.193303680419921875e+01,-2.931570243835449219e+01,1.981656837463378906e+01,9.303449375000000000e+05,-5.239331250000000000e+04,-2.573553466796875000e+01,1.193303680419921875e+01,-5.239331250000000000e+04,1.364668375000000000e+06
1.675088517367839813e-02,2.134788990020751953e+00,1.295492053031921387e+00,1.408572998046875000e+03,4.966160278320312500e+02,2.747768163681030273e-02,-1.409799978137016296e-02,-5.576357269287109375e+01,1.569756269454956055e+00,-1.409799978137016296e-02,7.749153301119804382e-03,3.054517173767089844e+01,-1.201344490051269531e+00,-5.576357269287109375e+01,3.054517173767089844e+01,3.693765625000000000e+05,-3.292041406250000000e+04,1.569756269454956055e+00,-1.201344490051269531e+00,-3.292041406250000000e+04,8.715414062500000000e+04
1.858531124889850616e-02,1.672857165336608887e+00,1.617127776145935059e+00,2.359414062500000000e+03,1.493542846679687500e+03,5.527061293832957745e-04,-8.464822894893586636e-05,6.767889857292175293e-01,-2.786880493164062500e+00,-8.464822894893586636e-05,4.568066797219216824e-04,2.316294670104980469e+00,3.917024433612823486e-01,6.767889857292175293e-01,2.316294670104980469e+00,1.255229375000000000e+06,-6.072197500000000000e+05,-2.786880493164062500e+00,3.917024433612823486e-01,-6.072197500000000000e+05,5.911956250000000000e+05
4.439979046583175659e-02,2.098756790161132812e+00,1.315426349639892578e+00,2.753160095214843750e+02,2.699094238281250000e+03,2.399837225675582886e-02,-1.307282596826553345e-02,1.503520369529724121e+00,3.987945175170898438e+01,-1.307282596826553345e-02,7.607519160956144333e-03,-7.505714893341064453e-01,-1.964624786376953125e+01,1.503520369529724121e+00,-7.505714893341064453e-01,1.413917285156250000e+04,2.756274804687500000e+04,3.987945175170898438e+01,-1.964624786376953125e+01,2.756274804687500000e+04,9.320236875000000000e+05
4.574211314320564270e-02,1.784813880920410156e+00,1.529688596725463867e+00,2.833228454589843750e+02,1.316919311523437500e+03,4.763852339237928391e-03,-3.433012403547763824e-03,-1.286384582519531250e+00,1.099164772033691406e+01,-3.433012403547763824e-03,3.180151106789708138e-03,1.505745947360992432e-01,-8.178722381591796875e+00,-1.286384582519531250e+00,1.505745947360992432e-01,2.089566601562500000e+04,1.118660449218750000e+04,1.099164772033691406e+01,-8.178722381591796875e+00,1.118660449218750000e+04,3.292664687500000000e+05
1.408847607672214508e-02,1.948984026908874512e+00,1.404150962829589844e+00,7.087620239257812500e+02,4.322621093750000000e+03,1.350294053554534912e-02,-8.542582392692565918e-03,8.581816673278808594e+00,1.158592224121093750e+01,-8.542582392692565918e-03,5.905199795961380005e-03,-6.086663246154785156e+00,-8.677270889282226562e+00,8.581816673278808594e+00,-6.086663246154785156e+00,1.713392500000000000e+05,-5.906064062500000000e+04,1.158592224121093750e+01,-8.677270889282226562e+00,-5.906064062500000000e+04,1.591352812500000000e+05
2.032765746116638184e-02,1.704421043395996094e+00,1.604594707489013672e+00,8.228930664062500000e+01,1.115631469726562500e+03,1.344573101960122585e-03,-8.270072285085916519e-04,-4.009377956390380859e-01,5.117973327636718750e+00,-8.270072285085916519e-04,1.202393905259668827e-03,5.455733537673950195e-01,1.546043395996093750e+00,-4.009377956390380859e-01,5.455733537673950195e-01,2.996618408203125000e+03,6.901010742187500000e+02,5.117973327636718750e+00,1.546043395996093750e+00,6.901010742187500000e+02,3.741784062500000000e+05
6.284898519515991211e-02,2.012627124786376953e+00,1.367288947105407715e+00,8.261157226562500000e+01,1.546606567382812500e+03,1.871237717568874359e-02,-1.139085553586483002e-02,4.019879698753356934e-01,-6.244609832763671875e+00,-1.139085553586483002e-02,7.472691591829061508e-03,-2.873866558074951172e-01,5.615858554840087891e+00,4.019879698753356934e-01,-2.873866558074951172e-01,1.726860351562500000e+03,6.927868164062500000e+03,-6.244609832763671875e+00,5.615858554840087891e+00,6.927868164062500000e+03,5.757966250000000000e+05
3.216948360204696655e-02,1.864485859870910645e+00,1.468637466430664062e+00,6.237163696289062500e+02,6.219641113281250000e+01,1.305721793323755264e-02,-9.375546127557754517e-03,-3.223299264907836914e+00,8.592210412025451660e-01,-9.375546127557754517e-03,7.405609823763370514e-03,1.666594743728637695e+00,-5.513502359390258789e-01,-3.223299264907836914e+00,1.666594743728637695e+00,9.935746875000000000e+04,-4.826279602050781250e+02,8.592210412025451660e-01,-5.513502359390258789e-01,-4.826279602050781250e+02,1.510620605468750000e+03
2.477716654539108276e-03,2.910524368286132812e+00,9.915547966957092285e-01,4.378149414062500000e+01,7.915881958007812500e+02,9.626275859773159027e-03,-1.713706180453300476e-03,-1.558745145797729492e+00,-2.605912017822265625e+01,-1.713706180453300476e-03,4.755741101689636707e-04,1.284072250127792358e-01,7.205617427825927734e+00,-1.558745145797729492e+00,1.284072250127792358e-01,8.137431030273437500e+02,-3.459191284179687500e+02,-2.605912017822265625e+01,7.205617427825927734e+00,-3.459191284179687500e+02,2.062462343750000000e+05
5.003469437360763550e-02,1.832700133323669434e+00,1.502008199691772461e+00,6.072760009765625000e+02,8.414127197265625000e+02,7.415459956973791122e-03,-5.785869900137186050e-03,6.611704826354980469e-02,-2.252964735031127930e+00,-5.785869900137186050e-03,5.305265076458454132e-03,-1.801892518997192383e+00,1.049058914184570312e+00,6.611704826354980469e-02,-1.801892518997192383e+00,6.845267968750000000e+04,1.713412500000000000e+04,-2.252964735031127930e+00,1.049058914184570312e+00,1.713412500000000000e+04,9.928353906250000000e+04
2.429606020450592041e-02,1.728844881057739258e+00,1.582059383392333984e+00,1.842986816406250000e+03,2.400529296875000000e+03,1.492060255259275436e-03,-1.025696401484310627e-03,5.551181793212890625e+00,-5.415452003479003906e+00,-1.025696401484310627e-03,1.497355639003217220e-03,-5.279746055603027344e+00,5.333717346191406250e+00,5.551181793212890625e+00,-5.279746055603027344e+00,9.845933125000000000e+05,-1.667557500000000000e+05,-5.415452003479003906e+00,5.333717346191406250e+00,-1.667557500000000000e+05,9.657352500000000000e+05
6.463395059108734131e-02,1.923445224761962891e+00,1.427036762237548828e+00,1.824414978027343750e+02,6.475140991210937500e+02,1.531612966209650040e-02,-1.041801087558269501e-02,2.226716518402099609e+00,3.511959075927734375e+00,-1.041801087558269501e-02,7.664089556783437729e-03,-1.849797010421752930e+00,-2.358177661895751953e+00,2.226716518402099609e+00,-1.849797010421752930e+00,8.463274414062500000e+03,3.044539794921875000e+03,3.511959075927734375e+00,-2.358177661895751953e+00,3.044539794921875000e+03,9.496367968750000000e+04
2.764393202960491180e-02,1.798632860183715820e+00,1.518232345581054688e+00,2.179816894531250000e+03,7.144638671875000000e+02,5.261731334030628204e-03,-3.899707458913326263e-03,-1.437492370605468750e+01,6.698419451713562012e-01,-3.899707458913326263e-03,3.705911338329315186e-03,8.173736572265625000e+00,-1.028049945831298828e+00,-1.437492370605468750e+01,8.173736572265625000e+00,8.822445000000000000e+05,2.708503320312500000e+04,6.698419451713562012e-01,-1.028049945831298828e+00,2.708503320312500000e+04,1.090094375000000000e+05
2.459281869232654572e-02,2.077406406402587891e+00,1.327832102775573730e+00,1.323455810546875000e+01,1.674882446289062500e+03,2.956051751971244812e-02,-1.697068661451339722e-02,-1.165803819894790649e-01,1.344141578674316406e+01,-1.697068661451339722e-02,1.023179106414318085e-02,5.749820917844772339e-02,-7.066147327423095703e+00,-1.165803819894790649e-01,5.749820917844772339e-02,6.685099792480468750e+01,-7.659940185546875000e+02,1.344141578674316406e+01,-7.066147327423095703e+00,-7.659940185546875000e+02,9.168964375000000000e+05
2.313593402504920959e-02,2.302667379379272461e+00,1.211867809295654297e+00,8.742285156250000000e+01,3.929659912109375000e+03,2.913719229400157928e-02,-1.376629248261451721e-02,-8.750938177108764648e-01,5.454775810241699219e+00,-1.376629248261451721e-02,6.950282491743564606e-03,5.026323795318603516e-01,-4.495170116424560547e+00,-8.750938177108764648e-01,5.026323795318603516e-01,3.119304687500000000e+03,-8.940418945312500000e+03,5.454775810241699219e+00,-4.495170116424560547e+00,-8.940418945312500000e+03,3.652595000000000000e+05
3.314879909157752991e-02,1.793609976768493652e+00,1.516453027725219727e+00,5.768166503906250000e+02,2.041087646484375000e+02,6.446835584938526154e-03,-4.776878282427787781e-03,5.588529109954833984e+00,2.024407625198364258e+00,-4.776878282427787781e-03,4.237749613821506500e-03,-4.880145549774169922e+00,-1.957138299942016602e+00,5.588529109954833984e+00,-4.880145549774169922e+00,8.782980468750000000e+04,6.330306152343750000e+03,2.024407625198364258e+00,-1.957138299942016602e+00,6.330306152343750000e+03,8.278610351562500000e+03
