amp,mu_0,mu_1,mu_2,mu_3,Sigma_0_0,Sigma_0_1,Sigma_0_2,Sigma_0_3,Sigma_1_0,Sigma_1_1,Sigma_1_2,Sigma_1_3,Sigma_2_0,Sigma_2_1,Sigma_2_2,Sigma_2_3,Sigma_3_0,Sigma_3_1,Sigma_3_2,Sigma_3_3
2.912856452167034149e-02,1.672668695449829102e+00,1.627955675125122070e+00,8.466147460937500000e+02,2.969617004394531250e+02,3.500707389321178198e-04,1.388118835166096687e-04,-4.314311742782592773e-01,4.662743210792541504e-01,1.388118835166096687e-04,3.983837959822267294e-04,4.581671357154846191e-01,-4.169288873672485352e-01,-4.314311742782592773e-01,4.581671357154846191e-01,1.484236718750000000e+05,-2.400975781250000000e+04,4.662743210792541504e-01,-4.169288873672485352e-01,-2.400975781250000000e+04,2.368700195312500000e+04
7.168550509959459305e-03,1.655113101005554199e+00,1.634618639945983887e+00,1.808399536132812500e+03,5.394130249023437500e+02,2.278149040648713708e-04,1.537526841275393963e-04,2.180861949920654297e+00,1.152999877929687500e+00,1.537526841275393963e-04,2.221671602455899119e-04,2.016098976135253906e+00,7.168011069297790527e-01,2.180861949920654297e+00,2.016098976135253906e+00,7.548197500000000000e+05,-1.572936718750000000e+04,1.152999877929687500e+00,7.168011069297790527e-01,-1.572936718750000000e+04,7.617949218750000000e+04
2.860926464200019836e-02,1.785638332366943359e+00,1.521731495857238770e+00,9.975720214843750000e+02,2.178700927734375000e+03,4.416285548359155655e-03,-3.009462263435125351e-03,-5.850840568542480469e+00,-4.662094116210937500e+00,-3.009462263435125351e-03,2.801433904096484184e-03,3.958740711212158203e+00,4.224150180816650391e+00,-5.850840568542480469e+00,3.958740711212158203e+00,2.168038906250000000e+05,-2.201915625000000000e+04,-4.662094116210937500e+00,4.224150180816650391e+00,-2.201915625000000000e+04,9.400487500000000000e+05
4.038429260253906250e-02,1.756422519683837891e+00,1.547087669372558594e+00,7.672233886718750000e+02,2.072279968261718750e+02,2.398096956312656403e-03,-1.846316736191511154e-03,-8.349601745605468750e+00,2.360022783279418945e+00,-1.846316736191511154e-03,2.220332855358719826e-03,8.566658973693847656e+00,-2.619242668151855469e+00,-8.349601745605468750e+00,8.566658973693847656e+00,9.030442187500000000e+04,-1.809604687500000000e+04,2.360022783279418945e+00,-2.619242668151855469e+00,-1.809604687500000000e+04,9.677667968750000000e+03
4.270695894956588745e-02,1.851216793060302734e+00,1.476141095161437988e+00,6.310238647460937500e+01,4.870453796386718750e+02,7.380727678537368774e-03,-4.744092468172311783e-03,-9.784141182899475098e-01,-4.841568470001220703e+00,-4.744092468172311783e-03,3.677447093650698662e-03,6.800627708435058594e-01,3.340383529663085938e+00,-9.784141182899475098e-01,6.800627708435058594e-01,1.047998779296875000e+03,2.783773193359375000e+03,-4.841568470001220703e+00,3.340383529663085938e+00,2.783773193359375000e+03,6.109619921875000000e+04
2.307782135903835297e-02,1.802645683288574219e+00,1.514090776443481445e+00,1.067196655273437500e+01,7.686228637695312500e+02,6.714024581015110016e-03,-4.905655980110168457e-03,7.601052056998014450e-03,2.165267944335937500e+00,-4.905655980110168457e-03,4.260893911123275757e-03,-2.348274365067481995e-02,-2.180137157440185547e+00,7.601052056998014450e-03,-2.348274365067481995e-02,4.689070510864257812e+01,-5.961246490478515625e+01,2.165267944335937500e+00,-2.180137157440185547e+00,-5.961246490478515625e+01,1.741976562500000000e+05
3.813275322318077087e-02,1.690090298652648926e+00,1.609013795852661133e+00,6.262226562500000000e+02,7.588377075195312500e+02,6.380047416314482689e-04,-1.117273350246250629e-04,4.869532883167266846e-01,9.036287069320678711e-01,-1.117273350246250629e-04,5.422299727797508240e-04,-7.418692708015441895e-01,8.893800973892211914e-01,4.869532883167266846e-01,-7.418692708015441895e-01,7.739960156250000000e+04,-1.478362011718750000e+04,9.036287069320678711e-01,8.893800973892211914e-01,-1.478362011718750000e+04,9.610841406250000000e+04
6.771363317966461182e-02,1.813933968544006348e+00,1.500958919525146484e+00,3.548729553222656250e+02,7.442603149414062500e+02,4.966138396412134171e-03,-3.480326384305953979e-03,3.338394463062286377e-01,-5.759118080139160156e+00,-3.480326384305953979e-03,3.103836672380566597e-03,-1.010969057679176331e-01,4.762145519256591797e+00,3.338394463062286377e-01,-1.010969057679176331e-01,1.605665039062500000e+04,1.547489355468750000e+04,-5.759118080139160156e+00,4.762145519256591797e+00,1.547489355468750000e+04,9.760217968750000000e+04
3.477042540907859802e-02,1.832106947898864746e+00,1.492011308670043945e+00,7.261453247070312500e+01,1.388325927734375000e+03,7.500485517084598541e-03,-5.115587264299392700e-03,-1.049353107810020447e-01,-1.463407874107360840e+00,-5.115587264299392700e-03,4.216195084154605865e-03,6.466027349233627319e-02,2.097905397415161133e+00,-1.049353107810020447e-01,6.466027349233627319e-02,1.519563598632812500e+03,-4.067457519531250000e+03,-1.463407874107360840e+00,2.097905397415161133e+00,-4.067457519531250000e+03,3.259444375000000000e+05
3.368122875690460205e-02,1.728515267372131348e+00,1.571667909622192383e+00,4.102062988281250000e+01,7.193786010742187500e+02,1.864147954620420933e-03,-1.248147920705378056e-03,2.460218816995620728e-01,3.130155801773071289e+00,-1.248147920705378056e-03,1.508230692707002163e-03,-2.267893850803375244e-01,-2.977663278579711914e+00,2.460218816995620728e-01,-2.267893850803375244e-01,4.047211914062500000e+02,7.689858398437500000e+02,3.130155801773071289e+00,-2.977663278579711914e+00,7.689858398437500000e+02,1.234757421875000000e+05
